column,dtype,non_null_count,missing_count,missing_pct,n_unique
eeg_bandpower_alpha,float64,22320,0,0.0,20801
eeg_bandpower_beta,float64,22320,0,0.0,20801
eeg_bandpower_delta,float64,22320,0,0.0,20801
eeg_bandpower_theta,float64,22320,0,0.0,20801
eeg_channel,object,22320,0,0.0,3
eeg_mean,float64,22320,0,0.0,18579
eeg_rel_power_alpha,float64,22320,0,0.0,20801
eeg_rel_power_beta,float64,22320,0,0.0,20801
eeg_rel_power_delta,float64,22320,0,0.0,20801
eeg_rel_power_theta,float64,22320,0,0.0,20801
eeg_rms,float64,22320,0,0.0,20801
eeg_spectral_entropy,float64,22320,0,0.0,20801
eeg_std,float64,22320,0,0.0,20800
eeg_theta_alpha_ratio,float64,22320,0,0.0,20801
eeg_var,float64,22320,0,0.0,20800
eeg_zero_crossing_rate,float64,22320,0,0.0,202
epoch_duration_sec,float64,22320,0,0.0,1
event_group,object,22320,0,0.0,3
sfreq_hz,float64,22320,0,0.0,1
sleep_stage,object,22320,0,0.0,3
sleep_stage_1,float64,22320,0,0.0,2
sleep_stage_2,float64,22320,0,0.0,2
sleep_stage_3,float64,22320,0,0.0,2
source_file,object,22320,0,0.0,22320
subject_unit_id,object,22320,0,0.0,223
