,sfreq_hz,epoch_duration_sec,eeg_mean,eeg_std,eeg_var,eeg_rms,eeg_zero_crossing_rate,eeg_bandpower_delta,eeg_rel_power_delta,eeg_bandpower_theta,eeg_rel_power_theta,eeg_bandpower_alpha,eeg_rel_power_alpha,eeg_bandpower_beta,eeg_rel_power_beta,eeg_theta_alpha_ratio,eeg_spectral_entropy,sleep_stage_1,sleep_stage_2,sleep_stage_3
sfreq_hz,,,,,,,,,,,,,,,,,,,,
epoch_duration_sec,,,,,,,,,,,,,,,,,,,,
eeg_mean,,,1.0,0.056396763898021555,0.07132197552862768,0.05654115536462886,0.011705051016459566,0.06348888282986614,0.021793309685332333,0.01477295943974355,-0.0103756581334726,0.03005879702559128,-0.0034792246949675197,0.02954321981965565,0.004992018601120812,0.001111631027098302,0.009489532378885366,-0.004065314993418912,0.003000096938035452,-0.00019370752335624058
eeg_std,,,0.056396763898021555,1.0,0.8303741500591071,0.9999996011685436,-0.2575515697410636,0.31362273154436143,0.01995481007712815,0.49358746115688723,-0.08915966472515326,0.6444673179765865,0.11114485783554053,0.7652349387510201,-0.026208714574085086,-0.04992655809364454,-0.2503913509007002,-0.1906025783990009,-0.21038497807547316,0.3322725167434028
eeg_var,,,0.07132197552862768,0.8303741500591071,1.0,0.8304218929210614,-0.2858922150481772,0.5293826626284747,0.06064633807205904,0.6905965529948166,-0.03399184091375606,0.743349100824921,0.08319773145610249,0.7512113668441628,-0.06324437296063685,0.004523130180438455,-0.30504887787888807,-0.13420383504557787,-0.1776144496410578,0.26262200981966843
eeg_rms,,,0.05654115536462886,0.9999996011685436,0.8304218929210614,1.0,-0.25748497509091245,0.3137749219428362,0.02014764725226844,0.4936463159416299,-0.08910779303008967,0.6443939531817486,0.11106519717279233,0.7651376818414237,-0.02626702488545984,-0.04985852193704159,-0.2503347452381712,-0.19052862776399968,-0.21030330575143183,0.3321435553607063
eeg_zero_crossing_rate,,,0.011705051016459566,-0.2575515697410636,-0.2858922150481772,-0.25748497509091245,1.0,-0.14347254976713059,0.09018346353681662,-0.2362568583296587,-0.1899111138833943,-0.3079187688489604,-0.34072951680117186,-0.2924136127302532,0.3864487947149941,-0.05664539837984946,0.8361096314423165,0.2693514551380445,0.4012251033650689,-0.5706028389741414
eeg_bandpower_delta,,,0.06348888282986614,0.31362273154436143,0.5293826626284747,0.3137749219428362,-0.14347254976713059,1.0,0.329222060344305,0.7440801270279421,0.07942387016798483,0.22922752819802777,-0.05872305187594839,0.1329281988859151,-0.15207725446236897,0.15814974629606948,-0.22367754962905695,-0.014785813340278257,-0.009717155234762399,0.01935474097857968
eeg_rel_power_delta,,,0.021793309685332333,0.01995481007712815,0.06064633807205904,0.02014764725226844,0.09018346353681662,0.329222060344305,1.0,0.18330051132030534,0.23594912187334083,-0.08875949627803657,-0.30364572212798696,-0.15027075665190878,-0.3628122228210095,0.3308477634631793,0.028017960701419667,0.29949833585407976,0.15280211470275248,-0.3492343385591857
eeg_bandpower_theta,,,0.01477295943974355,0.49358746115688723,0.6905965529948166,0.4936463159416299,-0.2362568583296587,0.7440801270279421,0.18330051132030534,1.0,0.1911013969318615,0.4933008448870708,-0.008703940854939661,0.33477316725850786,-0.21597657675730067,0.17759303591890435,-0.3187333277907749,-0.05430532317866303,-0.06527242038052906,0.09985272221919125
eeg_rel_power_theta,,,-0.0103756581334726,-0.08915966472515326,-0.03399184091375606,-0.08910779303008967,-0.1899111138833943,0.07942387016798483,0.23594912187334083,0.1911013969318615,1.0,-0.08889921387077933,-0.21802647093464148,-0.19167618248800922,-0.6912020468862009,0.6877413872453435,-0.29042490616237526,0.22941310881720836,0.037696953153089525,-0.19035264344940703
eeg_bandpower_alpha,,,0.03005879702559128,0.6444673179765865,0.743349100824921,0.6443939531817486,-0.3079187688489604,0.22922752819802777,-0.08875949627803657,0.4933008448870708,-0.08889921387077933,1.0,0.3512355329894474,0.7312064281450561,-0.14763582482754076,-0.12529676959704533,-0.35167449341967827,-0.13338373088463049,-0.2071000350911754,0.2907442440415028
eeg_rel_power_alpha,,,-0.0034792246949675197,0.11114485783554053,0.08319773145610249,0.11106519717279233,-0.34072951680117186,-0.05872305187594839,-0.30364572212798696,-0.008703940854939661,-0.21802647093464148,0.3512355329894474,1.0,0.07434917538617442,-0.4101568536730819,-0.448734885999101,-0.351701385048464,-0.17306644595677004,-0.2455237724034101,0.3546929355361414
eeg_bandpower_beta,,,0.02954321981965565,0.7652349387510201,0.7512113668441628,0.7651376818414237,-0.2924136127302532,0.1329281988859151,-0.15027075665190878,0.33477316725850786,-0.19167618248800922,0.7312064281450561,0.07434917538617442,1.0,0.14739259836570728,-0.12359448586339071,-0.2794571545741415,-0.17844417835981136,-0.24333129326872166,0.3561638119189652
eeg_rel_power_beta,,,0.004992018601120812,-0.026208714574085086,-0.06324437296063685,-0.02626702488545984,0.3864487947149941,-0.15207725446236897,-0.3628122228210095,-0.21597657675730067,-0.6912020468862009,-0.14763582482754076,-0.4101568536730819,0.14739259836570728,1.0,-0.33288271016470145,0.4996479334297945,-0.16368726175447723,0.09451068825630013,0.01776114961585083
eeg_theta_alpha_ratio,,,0.001111631027098302,-0.04992655809364454,0.004523130180438455,-0.04985852193704159,-0.05664539837984946,0.15814974629606948,0.3308477634631793,0.17759303591890435,0.6877413872453435,-0.12529676959704533,-0.448734885999101,-0.12359448586339071,-0.33288271016470145,1.0,-0.19256404083297465,0.2193095312439691,0.08338064159051438,-0.22800634683230836
eeg_spectral_entropy,,,0.009489532378885366,-0.2503913509007002,-0.30504887787888807,-0.2503347452381712,0.8361096314423165,-0.22367754962905695,0.028017960701419667,-0.3187333277907749,-0.29042490616237526,-0.35167449341967827,-0.351701385048464,-0.2794571545741415,0.4996479334297945,-0.19256404083297465,1.0,0.15910542227857155,0.36995562585879227,-0.46633673030860706
sleep_stage_1,,,-0.004065314993418912,-0.1906025783990009,-0.13420383504557787,-0.19052862776399968,0.2693514551380445,-0.014785813340278257,0.29949833585407976,-0.05430532317866303,0.22941310881720836,-0.13338373088463049,-0.17306644595677004,-0.17844417835981136,-0.16368726175447723,0.2193095312439691,0.15910542227857155,1.0,-0.30269870201244,-0.3756111808019461
sleep_stage_2,,,0.003000096938035452,-0.21038497807547316,-0.1776144496410578,-0.21030330575143183,0.4012251033650689,-0.009717155234762399,0.15280211470275248,-0.06527242038052906,0.037696953153089525,-0.2071000350911754,-0.2455237724034101,-0.24333129326872166,0.09451068825630013,0.08338064159051438,0.36995562585879227,-0.30269870201244,1.0,-0.7696017707838333
sleep_stage_3,,,-0.00019370752335624058,0.3322725167434028,0.26262200981966843,0.3321435553607063,-0.5706028389741414,0.01935474097857968,-0.3492343385591857,0.09985272221919125,-0.19035264344940703,0.2907442440415028,0.3546929355361414,0.3561638119189652,0.01776114961585083,-0.22800634683230836,-0.46633673030860706,-0.3756111808019461,-0.7696017707838333,1.0
