column,dtype,non_null_count,missing_count,missing_pct,n_unique
aux_raw,object,3781,0,0.0,135
bp_mean,float64,3781,0,0.0,3781
bp_std,float64,3781,0,0.0,3781
ecg_mean,float64,3781,0,0.0,3739
ecg_std,float64,3781,0,0.0,3781
eeg_c3_o1_mean,float64,3781,0,0.0,2598
eeg_c3_o1_std,float64,3781,0,0.0,2607
eeg_c4_a1_mean,float64,3781,0,0.0,976
eeg_c4_a1_std,float64,3781,0,0.0,977
eeg_o2_a1_mean,float64,3781,0,0.0,199
eeg_o2_a1_std,float64,3781,0,0.0,199
emg_mean,float64,3781,0,0.0,990
emg_std,float64,3781,0,0.0,991
eog_mean,float64,3781,0,0.0,130
eog_right_mean,float64,3781,0,0.0,859
eog_right_std,float64,3781,0,0.0,861
eog_std,float64,3781,0,0.0,131
epoch_end_sample,float64,3781,0,0.0,744
epoch_end_sec,float64,3781,0,0.0,744
epoch_index,float64,3781,0,0.0,741
epoch_start_sample,float64,3781,0,0.0,744
epoch_start_sec,float64,3781,0,0.0,744
event_tokens,object,3781,0,0.0,55
event_tokens_A,float64,3781,0,0.0,2
event_tokens_A A A,float64,3781,0,0.0,2
event_tokens_A X,float64,3781,0,0.0,2
event_tokens_CA,float64,3781,0,0.0,2
event_tokens_CAA,float64,3781,0,0.0,2
event_tokens_CAA CAA,float64,3781,0,0.0,2
event_tokens_CAA CAA L,float64,3781,0,0.0,2
event_tokens_CAA HA,float64,3781,0,0.0,2
event_tokens_CAA L,float64,3781,0,0.0,2
event_tokens_CAA X,float64,3781,0,0.0,2
event_tokens_H,float64,3781,0,0.0,2
event_tokens_H CA,float64,3781,0,0.0,2
event_tokens_H H,float64,3781,0,0.0,2
event_tokens_H HA,float64,3781,0,0.0,2
event_tokens_H L,float64,3781,0,0.0,2
event_tokens_H LA,float64,3781,0,0.0,2
event_tokens_H X,float64,3781,0,0.0,2
event_tokens_HA,float64,3781,0,0.0,2
event_tokens_HA CA,float64,3781,0,0.0,2
event_tokens_HA CAA,float64,3781,0,0.0,2
event_tokens_HA H,float64,3781,0,0.0,2
event_tokens_HA HA,float64,3781,0,0.0,2
event_tokens_HA L,float64,3781,0,0.0,2
event_tokens_HA X,float64,3781,0,0.0,2
event_tokens_L,float64,3781,0,0.0,2
event_tokens_L A,float64,3781,0,0.0,2
event_tokens_L CAA,float64,3781,0,0.0,2
event_tokens_L H,float64,3781,0,0.0,2
event_tokens_L HA,float64,3781,0,0.0,2
event_tokens_L HA LA,float64,3781,0,0.0,2
event_tokens_L L,float64,3781,0,0.0,2
event_tokens_L L L,float64,3781,0,0.0,2
event_tokens_L LA,float64,3781,0,0.0,2
event_tokens_L OA,float64,3781,0,0.0,2
event_tokens_L X,float64,3781,0,0.0,2
event_tokens_LA,float64,3781,0,0.0,2
event_tokens_LA H,float64,3781,0,0.0,2
event_tokens_LA HA,float64,3781,0,0.0,2
event_tokens_LA HA LA,float64,3781,0,0.0,2
event_tokens_LA L,float64,3781,0,0.0,2
event_tokens_LA LA,float64,3781,0,0.0,2
event_tokens_LA X,float64,3781,0,0.0,2
event_tokens_OA,float64,3781,0,0.0,2
event_tokens_OA L,float64,3781,0,0.0,2
event_tokens_OA OA,float64,3781,0,0.0,2
event_tokens_OA X,float64,3781,0,0.0,2
event_tokens_X,float64,3781,0,0.0,2
event_tokens_X A,float64,3781,0,0.0,2
event_tokens_X CA,float64,3781,0,0.0,2
event_tokens_X CAA,float64,3781,0,0.0,2
event_tokens_X H,float64,3781,0,0.0,2
event_tokens_X L,float64,3781,0,0.0,2
event_tokens_X LA,float64,3781,0,0.0,2
event_tokens_X OA,float64,3781,0,0.0,2
event_tokens_X X,float64,3781,0,0.0,2
record_id,object,3781,0,0.0,16
resp_abdomen_mean,float64,3781,0,0.0,229
resp_abdomen_std,float64,3781,0,0.0,229
resp_abdominal_mean,float64,3781,0,0.0,1511
resp_abdominal_std,float64,3781,0,0.0,1511
resp_chest_mean,float64,3781,0,0.0,497
resp_chest_std,float64,3781,0,0.0,497
resp_nasal_mean,float64,3781,0,0.0,3151
resp_nasal_std,float64,3781,0,0.0,3155
resp_sum_mean,float64,3781,0,0.0,279
resp_sum_std,float64,3781,0,0.0,279
sleep_stage,object,3781,0,0.0,7
so2_mean,float64,3781,0,0.0,1246
so2_std,float64,3781,0,0.0,1247
sv_mean,float64,3781,0,0.0,1241
sv_std,float64,3781,0,0.0,1241
