,epoch_index,epoch_start_sample,epoch_end_sample,epoch_start_sec,epoch_end_sec,ecg_mean,ecg_std,bp_mean,bp_std,eeg_c4_a1_mean,eeg_c4_a1_std,resp_sum_mean,resp_sum_std,eeg_o2_a1_mean,eeg_o2_a1_std,resp_nasal_mean,resp_nasal_std,eeg_c3_o1_mean,eeg_c3_o1_std,resp_chest_mean,resp_chest_std,eog_mean,eog_std,emg_mean,emg_std,resp_abdominal_mean,resp_abdominal_std,eog_right_mean,eog_right_std,sv_mean,sv_std,so2_mean,so2_std,resp_abdomen_mean,resp_abdomen_std,event_tokens_A,event_tokens_A A A,event_tokens_A X,event_tokens_CA,event_tokens_CAA,event_tokens_CAA CAA,event_tokens_CAA CAA L,event_tokens_CAA HA,event_tokens_CAA L,event_tokens_CAA X,event_tokens_H,event_tokens_H CA,event_tokens_H H,event_tokens_H HA,event_tokens_H L,event_tokens_H LA,event_tokens_H X,event_tokens_HA,event_tokens_HA CA,event_tokens_HA CAA,event_tokens_HA H,event_tokens_HA HA,event_tokens_HA L,event_tokens_HA X,event_tokens_L,event_tokens_L A,event_tokens_L CAA,event_tokens_L H,event_tokens_L HA,event_tokens_L HA LA,event_tokens_L L,event_tokens_L L L,event_tokens_L LA,event_tokens_L OA,event_tokens_L X,event_tokens_LA,event_tokens_LA H,event_tokens_LA HA,event_tokens_LA HA LA,event_tokens_LA L,event_tokens_LA LA,event_tokens_LA X,event_tokens_OA,event_tokens_OA L,event_tokens_OA OA,event_tokens_OA X,event_tokens_X,event_tokens_X A,event_tokens_X CA,event_tokens_X CAA,event_tokens_X H,event_tokens_X L,event_tokens_X LA,event_tokens_X OA,event_tokens_X X
epoch_index,1.0,0.9989228743806408,0.9989228743675589,0.9989228743806409,0.9989228743675589,-0.23446386548900894,-0.06369643878275266,0.22460913622738,-0.010030526119220631,0.10470578602485903,-0.025321139553616447,-0.0183882945141435,-0.0273879936771233,-0.015506158774383305,-0.06819387227073709,-0.2272810398288488,-0.08770290593653504,0.10178786966822488,-0.12544146037205212,0.15322930899938655,0.1420583457601197,-0.023530848466084383,-0.03595347341109733,-0.10750404100630505,0.0812144096808728,0.06726567300035258,0.1158686845708358,-0.11002971739045478,-0.010998377388052542,-0.14103862601733644,-0.0858857128869838,-0.010175579011164131,-0.019353443777397387,-0.017971521576790685,-0.041372310445952125,-0.0017819743151772172,0.007566037742494173,-0.016831938299185507,0.00803660579428074,0.017204918359847176,-0.020743299573283445,-0.01787527280096794,0.03476858956646072,-0.03553855059175343,-0.005515771779853849,0.06329555254401131,-0.0018987392205691406,0.002589788459160237,-0.014747143381872028,-0.0035308366184230193,-0.02250292894198503,-0.015210627132427773,-0.06413975059244115,0.02754990627663314,-0.0096024737507033,-0.002470797948535036,-0.059038140415511045,-0.0207422038469898,-0.021760274623767485,-0.04072316877478683,-0.027695759900566632,-0.010571931288491446,-0.0010743727404775966,-0.006318336781224869,-0.006880132282184611,-0.030349655813005708,-0.03067475297236219,-0.03997030842909821,-0.01771475980069373,0.005599793267525098,-0.08016857750138137,-0.017790817821164862,-0.00967450625014637,-0.019319889803435752,-0.0271337413320973,-0.07592261386068992,-0.019239633303298677,0.07477873046012978,-0.018642179174768226,-0.008134676495719017,0.004355777737010008,0.06863517960420909,0.007084498741671557,-0.011053470289314042,-0.029028787688728994,-0.021353783231812522,-0.0026122021816386313,-0.0035896157765633392,0.025251504291088574,-0.03712905461209668
epoch_start_sample,0.9989228743806408,1.0,0.9999999999999968,1.0,0.9999999999999968,-0.2499803596738286,-0.05328087129702962,0.22537413673028286,-0.010529868378500552,0.10622920409810331,-0.030928190897432574,-0.016915406700609117,-0.027060388119978733,-0.015882076512500797,-0.07015300503295699,-0.2128898399833831,-0.09300213006532429,0.10477612091500532,-0.10743696279320251,0.15265460867316144,0.13985360632914376,-0.023699837811407137,-0.03759112064615026,-0.09773689108929945,0.08643647919233025,0.06614053222651105,0.11515639549318862,-0.10207158875262563,-0.011927297595878811,-0.13253978355914067,-0.10646496908476731,-0.011211189750695232,-0.012459119650900916,-0.018154346198101697,-0.0405339111170854,-0.003837143027026876,0.007080230717608489,-0.017274150971532176,0.00855295044239276,0.020188973549630472,-0.020974236682272763,-0.0183156212411336,0.03776875927437026,-0.03574305151654034,-0.0038952636620371386,0.06270492864794208,-0.0013169188252438178,0.0014181933094499907,-0.015539036486754186,-0.0013817752228259728,-0.023519347976527643,-0.015076380889893753,-0.06828332245660707,0.02911133257456141,-0.008367874735417979,-0.0036240136484403376,-0.05926024823798569,-0.020126713911265776,-0.019397185355588705,-0.03599934540871269,-0.02851107923565826,-0.009262841205367483,0.00014498824681330095,-0.00677933517785643,-0.00734012686148796,-0.031786975916930194,-0.031287947742429385,-0.041074121126173195,-0.017995168850486992,0.004771544215417323,-0.0814034495992848,-0.01842703363240838,-0.01032522430318811,-0.019757656999043263,-0.028030209790603597,-0.07794009593378744,-0.019677543901381604,0.0765086735188168,-0.019276873771837028,-0.009370872788647438,0.0038757068111426258,0.06877861857220481,0.006599552131638592,-0.011506007939893577,-0.026698810989514394,-0.0223722555622156,-0.001673425537014555,-0.0024532279041274913,0.02457320376104235,-0.03697405899185017
epoch_end_sample,0.9989228743675589,0.9999999999999968,1.0,0.999999999999997,1.0,-0.2499803598477116,-0.053280871288571396,0.22537413684268687,-0.010529868605374438,0.10622920444063334,-0.030928191612499302,-0.016915406951538727,-0.02706038795219508,-0.01588207649373722,-0.07015300494472632,-0.21288984017480833,-0.09300212994495041,0.10477612150905236,-0.10743696278671513,0.15265460910245893,0.1398536067629601,-0.023699837790428918,-0.03759112058834219,-0.09773689118750677,0.08643647905359796,0.06614053221820902,0.11515639550253723,-0.10207158881594118,-0.011927297555913218,-0.1325397840398186,-0.10646496961491239,-0.011211189873786278,-0.012459119506990602,-0.018154346181076034,-0.04053391110140214,-0.0038371429825960726,0.007080230720948065,-0.017274150950526642,0.008552950497721687,0.02018897364199383,-0.020974236648097264,-0.0183156212193727,0.03776875926393121,-0.03574305147165203,-0.0038952636507363077,0.062704928733221,-0.0013169188123010492,0.0014181933324153397,-0.015539036460799075,-0.0013817752071401009,-0.02351934794050599,-0.01507638086427425,-0.06828332261104486,0.029111332561920153,-0.008367874714664627,-0.0036240136250375813,-0.05926024816103137,-0.020126713884678987,-0.01939718531606567,-0.035999345256556445,-0.028511079198019786,-0.009262841190173173,0.0001449882613917612,-0.006779335164463569,-0.007340126847688313,-0.03178697585990398,-0.03128794770774661,-0.041074121066977005,-0.017995168828958574,0.004771544226639771,-0.08140344943730383,-0.018427033607054492,-0.010325224283710965,-0.01975765697623631,-0.028030209753314047,-0.07794009789587045,-0.019677543878632853,0.07650867368444839,-0.019276873745866747,-0.009370872747881344,0.003875706816806643,0.06877861857441316,0.006599552135326856,-0.011506007923072133,-0.026698810958160447,-0.022372255527025913,-0.00167342551034776,-0.002453227893872671,0.024573203757901344,-0.03697405889557676
epoch_start_sec,0.9989228743806409,1.0,0.999999999999997,1.0,0.9999999999999968,-0.2499803596738286,-0.05328087129702965,0.22537413673028286,-0.010529868378500526,0.10622920409810334,-0.03092819089743262,-0.016915406700609124,-0.02706038811997874,-0.015882076512500797,-0.070153005032957,-0.21288983998338315,-0.09300213006532429,0.10477612091500532,-0.10743696279320253,0.15265460867316147,0.13985360632914376,-0.023699837811407137,-0.03759112064615027,-0.09773689108929948,0.0864364791923303,0.06614053222651099,0.1151563954931886,-0.10207158875262567,-0.0119272975958788,-0.1325397835591407,-0.1064649690847673,-0.011211189750695233,-0.012459119650900907,-0.018154346198101697,-0.0405339111170854,-0.0038371430270268806,0.007080230717608489,-0.01727415097153218,0.008552950442392775,0.020188973549630437,-0.02097423668227276,-0.0183156212411336,0.037768759274370275,-0.03574305151654034,-0.003895263662037138,0.06270492864794207,-0.0013169188252438165,0.0014181933094499946,-0.015539036486754185,-0.0013817752228259715,-0.023519347976527657,-0.015076380889893753,-0.06828332245660707,0.02911133257456141,-0.008367874735417979,-0.0036240136484403385,-0.059260248237985674,-0.020126713911265776,-0.0193971853555887,-0.03599934540871268,-0.028511079235658262,-0.009262841205367483,0.0001449882468133007,-0.006779335177856429,-0.00734012686148796,-0.03178697591693021,-0.031287947742429406,-0.041074121126173195,-0.017995168850486992,0.004771544215417317,-0.08140344959928483,-0.01842703363240839,-0.010325224303188106,-0.01975765699904327,-0.028030209790603593,-0.07794009593378744,-0.019677543901381604,0.07650867351881685,-0.019276873771837028,-0.009370872788647436,0.003875706811142627,0.06877861857220476,0.006599552131638589,-0.01150600793989358,-0.026698810989514394,-0.022372255562215605,-0.0016734255370145538,-0.002453227904127491,0.02457320376104235,-0.03697405899185017
epoch_end_sec,0.9989228743675589,0.9999999999999968,1.0,0.9999999999999968,1.0,-0.24998035984771164,-0.053280871288571396,0.22537413684268687,-0.010529868605374406,0.10622920444063336,-0.030928191612499333,-0.016915406951538734,-0.027060387952195095,-0.01588207649373722,-0.07015300494472632,-0.21288984017480833,-0.09300212994495041,0.10477612150905233,-0.10743696278671513,0.15265460910245893,0.1398536067629601,-0.023699837790428908,-0.03759112058834219,-0.09773689118750677,0.08643647905359796,0.06614053221820902,0.11515639550253723,-0.10207158881594118,-0.011927297555913189,-0.13253978403981856,-0.10646496961491239,-0.011211189873786276,-0.012459119506990593,-0.018154346181076027,-0.04053391110140214,-0.003837142982596067,0.007080230720948062,-0.017274150950526642,0.008552950497721694,0.02018897364199384,-0.020974236648097274,-0.0183156212193727,0.03776875926393122,-0.03574305147165203,-0.003895263650736307,0.06270492873322099,-0.0013169188123010479,0.0014181933324153382,-0.015539036460799072,-0.0013817752071401009,-0.023519347940505992,-0.015076380864274248,-0.0682833226110449,0.029111332561920153,-0.008367874714664625,-0.003624013625037585,-0.05926024816103137,-0.020126713884678987,-0.019397185316065668,-0.035999345256556445,-0.02851107919801978,-0.009262841190173171,0.0001449882613917587,-0.006779335164463567,-0.007340126847688313,-0.03178697585990398,-0.031287947707746615,-0.04107412106697699,-0.01799516882895857,0.004771544226639769,-0.08140344943730382,-0.018427033607054492,-0.010325224283710965,-0.01975765697623631,-0.028030209753314047,-0.07794009789587045,-0.01967754387863285,0.07650867368444837,-0.019276873745866747,-0.009370872747881344,0.003875706816806643,0.06877861857441316,0.006599552135326855,-0.011506007923072131,-0.026698810958160447,-0.022372255527025913,-0.0016734255103477552,-0.002453227893872671,0.02457320375790135,-0.03697405889557678
ecg_mean,-0.23446386548900894,-0.2499803596738286,-0.2499803598477116,-0.2499803596738286,-0.24998035984771164,1.0,-0.03990041262227753,-0.026678045607678058,-0.16649087030955964,-0.15896503791855182,0.13361075830501493,-0.037538695953394735,-0.006924310976317509,0.010258143277330411,0.052613370866068425,0.3540095439496781,0.09920486925123125,-0.16236083884054656,0.15155064969133822,-0.028897723780263215,0.004851022293639671,-0.0005640526695638253,-0.005256783495190077,-0.01961816141877216,0.03327474819544201,0.03713309639330741,-0.46091874982759146,-0.027133412143557835,0.02838291749975978,0.20044152194063214,0.14375051739552586,0.07215668010225287,-0.23757929391748284,0.007807050522533479,-0.020147991655536768,0.048895065511595566,0.01169564623248323,0.011886222830385523,-0.06691830035106101,-0.1538672224684208,-0.043004056883674646,0.008750265678922337,0.004325189898285703,0.011339289593798142,0.006216287744092691,0.01105107063009976,0.0017198749981418506,0.034703509213488845,0.023275088185569677,-0.028921246445250046,0.028009858008655197,-0.03006284532075311,0.19305761082631212,0.006061612710425161,-0.009861445951281161,0.018409113459753417,0.03982813413057225,0.004257493162658025,-0.026492628599996796,-0.10369725540898804,0.020943289058152178,-0.009500315433688835,-0.0040858342359437715,0.012532261273535386,0.012538116211580241,0.03472500408284445,0.017610557361980955,0.01753323054457232,0.006203658503535472,0.020396583584226687,0.03465714666683152,0.01730030276434596,0.017708104679256542,0.012519733668668471,0.018131337539448386,0.05488888954831415,0.0019177950283007646,-0.12440350454350017,-0.0020607971660963342,0.02485616404121659,-0.03290787364156193,-0.013556844438511914,0.011738769977278374,0.01189336650898325,0.008985371290329976,0.00787811090647666,-0.015538952346862839,-0.031117518631239693,0.013994222166199149,0.07549241748795403
ecg_std,-0.06369643878275266,-0.05328087129702962,-0.053280871288571396,-0.05328087129702965,-0.053280871288571396,-0.03990041262227753,1.0,0.45263043744000464,0.24000429191798273,0.03435060757385657,-0.08747031516557689,-0.007682265919821373,0.022187363329346194,-0.010109375706241685,-0.006822509652088526,-0.03511006903839575,0.06539347360872187,0.48785962534182936,0.1834337181107171,0.06708776613433345,0.10472713661601037,0.006843345285414719,0.014685733944940051,-0.08949980104333043,-0.12810692325301076,-0.22761285002202858,0.14846631578172284,-0.09071873402293266,-0.1388850267821767,0.06853549981363262,-0.1192261827326863,0.11385022902565217,0.015158122202746602,-0.008191456624172965,0.033145092859336166,-0.06549160962369163,0.017150284019962683,-0.010816390037522527,-0.04381982827340519,-0.05633710414440112,0.01033915725641697,-0.015763507323166438,-0.00390442595320328,-0.034749088092719135,-0.0010160573345294652,0.09621982739766578,0.007702812831588941,0.04752034064862567,0.004645860679062654,-0.015505648920931418,0.004319745060819055,0.016013897972924563,0.00797648543138286,0.00514924514344375,-0.027046750511437546,-0.009677963206584905,0.03576265853958716,-0.026965225303896077,0.006283075027627751,-0.06801085269812863,-0.035519224419310984,-0.019186598517383666,-0.032137298584199045,0.004559142902089184,0.0039263778634175146,-0.02312218098480263,-0.013638060256116321,-0.028238649817389563,-0.013736406090374137,0.009800716598579048,-0.05193701676901942,-0.009517321240338822,0.006502713626986559,-0.010026885685690995,-0.01298257792602542,-0.050791088652388156,0.001780429975766328,-0.23570504620881103,0.00594368292953707,-0.06553218258355853,0.004561211471828746,0.21250953832399602,0.017660261544520297,0.018476931863017826,0.04660752906288551,0.022904145871147585,0.009684522075666203,0.005929778317527734,-0.014953763467665616,0.09167610182305422
bp_mean,0.22460913622738,0.22537413673028286,0.22537413684268687,0.22537413673028286,0.22537413684268687,-0.026678045607678058,0.45263043744000464,1.0,0.34649517125352086,0.2488590554894094,-0.3963697854998527,0.014876168727582437,0.013490511257705414,0.018249101262907692,0.058353136115017926,-0.26392728109250013,0.3231337897969578,0.3033385183378819,-0.06697944649015737,0.1194897504344572,0.21263806349635042,0.0024125300135808365,-0.005765248686070529,-0.2119248739896278,-0.08816564636075001,-0.12152639099703302,0.15111668493958624,-0.265353427638477,-0.04596018057922913,-0.0729968817708235,-0.09268834661353119,-0.016213194566599153,-0.026342368133828,-0.004086918571897045,0.011147876508176205,0.04654532955055564,0.005109013276526169,0.022874279467842706,-0.04417566587103619,-0.029868426068281707,-0.0072792422458645275,-0.021464476817913424,0.02312423907840358,-0.03843293570396309,0.004361168929263127,0.06366149438735023,-0.01232096433673614,0.022654177206204322,0.006577463667551681,-0.016690254890278408,-0.06562677474952328,0.019456997219216073,0.16169765010729362,0.020638750210584318,-0.021252937214091057,0.03583699592888152,0.04511887683951277,-0.01473901399860259,-0.005024128569981454,-0.1318751010550355,0.019376546861813723,-0.028600680000784418,-0.014656135370362882,-0.026216083650126443,-0.02729564879506958,-0.03271939798969676,-0.05523869054469399,-0.10013574663794557,-0.006594155457765204,-0.005299763506614077,-0.2754048643216992,-0.0126476939357888,-0.04080983459731782,-0.040688620178029995,-0.07206341485496703,-0.20265668501663844,0.0068091801932005265,-0.09265180364898606,-0.01626575924522837,-0.017454609951156462,0.003125969856564858,0.14376704290741874,0.009120397686013398,0.03551826157682804,0.004230629286039808,0.05445507236924314,-0.012309933155881856,-0.014551857318240784,0.007612743466602631,0.04047332609503995
bp_std,-0.010030526119220631,-0.010529868378500552,-0.010529868605374438,-0.010529868378500526,-0.010529868605374406,-0.16649087030955964,0.24000429191798273,0.34649517125352086,1.0,0.002259632832663183,-0.10969243436281526,0.028619340180903233,0.032594810170133326,0.00043211816996572997,0.206489153790507,-0.19625670619811292,0.29240313575296506,0.23686410279868045,-0.053202538384409706,0.006532984924955644,0.051198629610458714,-0.0021291000457902137,-0.012194160539354595,0.0960253912612459,0.18884511617677407,-0.14117499960675345,0.2548974354572015,0.03582091650306559,0.04314887677108739,0.11122228285839744,0.06633415804501,0.11115397763990449,0.15951871640346704,-0.006125091831487806,0.07807934093490153,-0.020450147892629354,-0.007684770644659203,-0.0034343678500197723,0.003362486828016651,-0.012633894856609661,0.0021024635391239735,0.0017818598979083245,-0.015588450826098285,0.015203524316424164,-0.008438671823865955,-0.017300141889816188,-0.013334850291393969,-0.016449271999369627,-0.003886750355617098,-0.009986677608303983,-0.03377225402219807,0.026356652000247675,-0.07394942371804357,-0.012966007972747027,-0.010320563778534556,0.004468089699570483,-0.0014107183061105632,-0.0003309860180464897,0.016152545071809105,-0.14255871708360912,-0.028724817209837186,-0.007722503902048996,-0.01991791152604021,-0.018843491288819812,-0.012215611538099238,-0.033142577300816364,-0.011425166434592713,-0.028732780955451395,0.008951168929608958,0.001772119573063048,-0.10967404286933456,-0.02337810287801136,-0.02386042547886209,-0.007012664317774805,-0.022632256491860743,-0.051653088574677805,-0.011574517433448303,0.15203718114843262,-0.009535876652985982,0.027963396792173915,0.012822808999949482,0.08604439751175903,-0.000519726374568106,0.050500578822971556,-0.010201815426322617,0.06002189967453724,-0.0031615541080320052,-0.0059584554273153295,0.008678766766192076,0.022296767245326192
eeg_c4_a1_mean,0.10470578602485903,0.10622920409810331,0.10622920444063334,0.10622920409810334,0.10622920444063336,-0.15896503791855182,0.03435060757385657,0.2488590554894094,0.002259632832663183,1.0,-0.3854479364808057,0.12233597700842493,0.02485605378802383,0.000815324386336077,0.00420360138499936,0.0042751311493509575,0.05164050748057874,0.011909941471425153,0.0086411844084162,0.07604435947998348,-0.14107206097182232,0.029034390460606817,0.22794570345978335,-0.2606290471707474,-0.3615544416479636,0.0045796566840223315,0.009521319418171158,-0.014899447304460226,0.0070185757328694405,-0.00552815942090749,0.001957798091701088,-0.005094241181364397,0.009267001294776716,0.0004341729609939192,-0.0015442466412001663,0.004938379633772402,0.0009540259474595127,0.0009540259474594709,0.001077676559548428,-0.0019413453274140008,0.0021343964800424964,0.0009540259474594971,0.0019088095093601936,0.0021343964800425,0.0009540259474594905,-0.07603695964624999,0.00134937493430735,-0.012563667814289182,-0.02242360838939728,0.0016528587348089284,-0.09225936825561071,0.0016528587348089256,-0.05874729052716446,0.0009540259474595015,0.0016528587348089278,0.002338423861051259,0.0038236980337470424,0.0013493749343073602,0.0028651113120613187,-0.07127382617899478,0.002036423642113849,0.0009540259474594969,0.0016528587348089217,-0.04170713152318123,-0.04150569719273985,-0.05442513488839651,-0.0581212091851774,-0.10665116703637353,0.0012846349526795793,0.001652858734808916,-0.3048273158776854,-0.028694531283055474,-0.05858536258879237,-0.03938560086484448,-0.03087799987716754,-0.19905299261653864,0.000954025947459498,0.05308555704067303,0.08961357510322059,0.006150254237937847,0.0009540259474594978,0.2559726346359629,0.0009540259474595127,0.0009540259474594743,0.001349374934307343,0.002134396480042468,0.06519174456067246,0.0009540259474594972,0.0017792036398541346,0.010907010802988275
