column,dtype,non_null_count,missing_count,missing_pct,n_unique
aux_raw,object,8645,0,0.0,144
bp_mean,float64,8645,0,0.0,8643
bp_std,float64,8645,0,0.0,8645
ecg_mean,float64,8645,0,0.0,8390
ecg_std,float64,8645,0,0.0,8645
eeg_c3_o1_mean,float64,8645,0,0.0,6035
eeg_c3_o1_std,float64,8645,0,0.0,6087
eeg_c4_a1_mean,float64,8645,0,0.0,1934
eeg_c4_a1_std,float64,8645,0,0.0,1937
eeg_o2_a1_mean,float64,8645,0,0.0,619
eeg_o2_a1_std,float64,8645,0,0.0,621
emg_mean,float64,8645,0,0.0,2092
emg_std,float64,8645,0,0.0,2097
eog_mean,float64,8645,0,0.0,634
eog_right_mean,float64,8645,0,0.0,1448
eog_right_std,float64,8645,0,0.0,1457
eog_std,float64,8645,0,0.0,641
epoch_end_sample,float64,8645,0,0.0,760
epoch_end_sec,float64,8645,0,0.0,760
epoch_index,float64,8645,0,0.0,759
epoch_start_sample,float64,8645,0,0.0,760
epoch_start_sec,float64,8645,0,0.0,760
record_id,object,8645,0,0.0,16
resp_abdomen_mean,float64,8645,0,0.0,439
resp_abdomen_std,float64,8645,0,0.0,439
resp_abdominal_mean,float64,8645,0,0.0,2584
resp_abdominal_std,float64,8645,0,0.0,2587
resp_chest_mean,float64,8645,0,0.0,1551
resp_chest_std,float64,8645,0,0.0,1553
resp_nasal_mean,float64,8645,0,0.0,7318
resp_nasal_std,float64,8645,0,0.0,7327
resp_sum_mean,float64,8645,0,0.0,599
resp_sum_std,float64,8645,0,0.0,599
sleep_stage,object,8645,0,0.0,6
sleep_stage_1,float64,8645,0,0.0,2
sleep_stage_2,float64,8645,0,0.0,2
sleep_stage_3,float64,8645,0,0.0,2
sleep_stage_4,float64,8645,0,0.0,2
sleep_stage_r,float64,8645,0,0.0,2
sleep_stage_w,float64,8645,0,0.0,2
so2_mean,float64,8645,0,0.0,2480
so2_std,float64,8645,0,0.0,2481
sv_mean,float64,8645,0,0.0,2475
sv_std,float64,8645,0,0.0,2475
