,epoch_index,epoch_start_sample,epoch_end_sample,epoch_start_sec,epoch_end_sec,ecg_mean,ecg_std,bp_mean,bp_std,eeg_c4_a1_mean,eeg_c4_a1_std,resp_sum_mean,resp_sum_std,eeg_o2_a1_mean,eeg_o2_a1_std,resp_nasal_mean,resp_nasal_std,eeg_c3_o1_mean,eeg_c3_o1_std,resp_chest_mean,resp_chest_std,eog_mean,eog_std,emg_mean,emg_std,resp_abdominal_mean,resp_abdominal_std,eog_right_mean,eog_right_std,sv_mean,sv_std,so2_mean,so2_std,resp_abdomen_mean,resp_abdomen_std,sleep_stage_1,sleep_stage_2,sleep_stage_3,sleep_stage_4,sleep_stage_r,sleep_stage_w
epoch_index,1.0,0.998959497569315,0.9989595135644438,0.9989594975693148,0.9989595135644438,-0.12118234285290515,0.051038478416983085,0.296422728595725,-0.023656307133657413,0.12529000754442737,-0.056215750598845295,-0.04588322940784518,-0.058910427636642254,0.0074319084938902265,-0.0934982797914993,-0.0874994507606915,-0.06316808642180617,0.13221627762611263,-0.06533199922500771,0.07520024820960104,0.06402457036476016,-0.022126655933279702,0.03666083778030413,-0.031112554211713314,0.08620900049200932,0.029832267921678864,0.09309914735393104,0.0368095468858314,-0.01497016081676926,-0.11696510989140671,-0.09629442877060507,0.051920718069973316,-0.030217433947518177,-0.03464069600758208,-0.03130517347179516,0.04571112473601096,-0.04368310296085011,-0.020022916534727615,-0.08691283755995897,0.06759362377503766,0.005081054781688436
epoch_start_sample,0.998959497569315,1.0,0.9999999985879088,1.0,0.9999999985879088,-0.13573510766329722,0.056351684535200834,0.29638071065924526,-0.024844715438735263,0.1225997813190824,-0.060242535700020805,-0.04650270602631417,-0.058777732392968005,0.007788380567989582,-0.0956194176058017,-0.07450706970385228,-0.06933719276035837,0.1368342236474598,-0.053805525018157614,0.07684143405603128,0.060984274419262886,-0.022336814763180515,0.034872790941161524,-0.028906216633481863,0.08732989435878041,0.029174188639422973,0.09182413810839757,0.033127434515925105,-0.017067153916641722,-0.107343011145694,-0.11548686471714069,0.04890708417860217,-0.02450502729829849,-0.03501185661401629,-0.03178190687649967,0.04481901492921648,-0.04695686878335474,-0.01575624070720284,-0.08629731356994538,0.0705220656360311,0.005585630724886659
epoch_end_sample,0.9989595135644438,0.9999999985879088,1.0,0.9999999985879088,1.0,-0.1357345931884425,0.05635092165423582,0.2963813401217622,-0.0248428500336014,0.12259969187825263,-0.06024259849017558,-0.046502705942238355,-0.05877771333987446,0.007788385683988514,-0.09561943492610937,-0.0745066297358357,-0.06933760140965037,0.1368340988290003,-0.05380573586253453,0.07684144659739436,0.060984194601927125,-0.022336812823003503,0.034872744320848845,-0.02890620450031855,0.08732986139791213,0.029174161983176967,0.09182403328507088,0.03312729226526146,-0.017067205063753074,-0.10734588856533653,-0.11548634250717016,0.04890637420171176,-0.024505267393130067,-0.035011406287491886,-0.03177871766318792,0.044818734100337945,-0.04695729800152187,-0.015756363954011806,-0.08629735393804461,0.07052189498430896,0.005586461631009485
epoch_start_sec,0.9989594975693148,1.0,0.9999999985879088,1.0,0.9999999985879086,-0.13573510766329716,0.05635168453520085,0.2963807106592452,-0.024844715438735263,0.1225997813190824,-0.06024253570002078,-0.046502706026314136,-0.05877773239296799,0.00778838056798958,-0.09561941760580168,-0.07450706970385224,-0.06933719276035835,0.13683422364745979,-0.0538055250181576,0.07684143405603128,0.060984274419262886,-0.02233681476318052,0.034872790941161524,-0.028906216633481863,0.08732989435878037,0.029174188639422984,0.09182413810839755,0.03312743451592509,-0.017067153916641736,-0.10734301114569399,-0.1154868647171407,0.04890708417860217,-0.02450502729829849,-0.03501185661401629,-0.03178190687649968,0.04481901492921648,-0.04695686878335471,-0.015756240707202804,-0.08629731356994534,0.0705220656360311,0.0055856307248866865
epoch_end_sec,0.9989595135644438,0.9999999985879088,1.0,0.9999999985879086,1.0,-0.13573459318844247,0.05635092165423582,0.2963813401217622,-0.02484285003360138,0.12259969187825258,-0.060242598490175596,-0.04650270594223835,-0.05877771333987445,0.007788385683988516,-0.09561943492610935,-0.07450662973583563,-0.06933760140965035,0.1368340988290002,-0.05380573586253452,0.07684144659739436,0.060984194601927125,-0.022336812823003486,0.03487274432084884,-0.028906204500318524,0.08732986139791211,0.029174161983176967,0.09182403328507083,0.03312729226526146,-0.017067205063753064,-0.10734588856533651,-0.11548634250717016,0.04890637420171176,-0.024505267393130057,-0.03501140628749188,-0.03177871766318792,0.04481873410033794,-0.04695729800152186,-0.01575636395401179,-0.0862973539380446,0.07052189498430891,0.005586461631009457
ecg_mean,-0.12118234285290515,-0.13573510766329722,-0.1357345931884425,-0.13573510766329716,-0.13573459318844247,1.0,-0.002551564074902654,0.011805594338912654,-0.15048051754302436,-0.14207211671247058,0.08693788861826457,0.021363398435755136,0.002497551483260776,-0.009641293298686973,0.0630000043677913,0.29859437016713813,0.11077650973111453,-0.1746167421054979,0.15677284555790144,-0.029500086068561464,0.010802562203283097,-0.0013981694859132511,-0.00899900527677819,0.056240284083924154,0.05441686270377809,0.11670482654158908,-0.38192907262988274,0.09202645864872883,0.02345308165908791,0.11996849680632936,0.14735892840085746,0.05026936193264499,-0.20188909849670403,0.017787926515333036,0.020089078702521707,-0.14657333177981616,0.1340674601351547,-0.053132038487272715,0.03576014372794286,-0.012274372599996853,0.002046701241667319
ecg_std,0.051038478416983085,0.056351684535200834,0.05635092165423582,0.05635168453520085,0.05635092165423582,-0.002551564074902654,1.0,0.3948041601200433,0.17243956905025543,0.03023471057209918,-0.047227090589473074,-0.02133787351410488,0.03583469628236342,0.009035051950433137,-0.04742229846623734,-0.01965605990345311,0.1322714248970636,0.39543484529787815,0.22695781133527748,0.002118075987263886,0.0910998032744877,0.021231203309560076,0.020887175983181225,-0.2802254388888507,-0.18217858000792087,-0.1777458511402136,0.10515846874135172,-0.3212512010790144,-0.07868276490427287,0.04495563538404377,-0.1109925405504899,0.09429003938193516,-0.03269784442073804,-0.01943558841497839,-0.024345294367231273,-0.009903853469433717,-0.06491423622308293,0.041609328322599524,-0.08309535632708981,-0.0071509427952163255,0.08170118366265099
bp_mean,0.296422728595725,0.29638071065924526,0.2963813401217622,0.2963807106592452,0.2963813401217622,0.011805594338912654,0.3948041601200433,1.0,0.23553155614884677,0.15021382533615793,-0.28471396356657735,-0.10123378897539424,0.019407700939296446,0.04194799300373124,0.02310825117213926,-0.2637285907242767,0.28796375804444146,0.28038046460106375,-0.014079816909118794,0.0028092661669569317,0.16159003010302445,0.0040951504435887765,0.031080839067142315,-0.25825822480498467,-0.06311830546963852,-0.14661075187716974,0.11850814487680938,-0.1701160768233524,0.026248022146302823,-0.11108580924147284,-0.09366079815564683,0.05078835774760796,-0.06301384579897167,-0.001960228386589413,0.02347918951720826,0.048237579756983076,-0.10236877203579209,-0.1274455916239005,-0.22727556503654153,0.10820861586750062,0.12908328381545556
bp_std,-0.023656307133657413,-0.024844715438735263,-0.0248428500336014,-0.024844715438735263,-0.02484285003360138,-0.15048051754302436,0.17243956905025543,0.23553155614884677,1.0,-0.06841098493859424,-0.023175012117855272,-0.0162493727061176,0.08962501361982443,9.327977129248746e-05,0.08822914307695454,-0.1416261586072154,0.19422668593774672,0.19719159330911637,-0.0366298785909082,0.03473617319512612,-0.008799121512046237,-0.0002864779038947048,-0.005151002391274133,0.06380643038257684,0.11580988666031129,-0.08897172553415748,0.16211737064819012,0.05837136709696283,0.020842251277632173,0.034141595168568295,0.04157345882449444,0.0324687495933482,0.0830480904723995,-0.007139367669529037,0.04357333834986997,0.03463326417489349,0.02256838247630151,-0.0684706037697464,-0.05766092914211487,0.0404243412759887,-0.02606579964410481
eeg_c4_a1_mean,0.12529000754442737,0.1225997813190824,0.12259969187825263,0.1225997813190824,0.12259969187825258,-0.14207211671247058,0.03023471057209918,0.15021382533615793,-0.06841098493859424,1.0,-0.18846097129750397,-0.06456443176133765,-0.005610336592935173,0.0011305320031935158,-0.00724552849707916,0.05114680809493386,0.07218675669238667,-0.014299124151867489,-0.01445635699010245,0.09132581050312513,-0.13111571051579118,0.030510303546985598,0.18024090246259356,-0.0022809645358485104,-0.1621831151385238,-0.002258501783224946,-0.010444737434269331,-0.01967078718608765,-0.007857195753416585,0.004500967002551289,-0.0027681167896104852,0.006783475522246327,-0.012117974412448636,-0.0014601719666890185,-0.0017367346128904773,-0.03031073955186902,-0.06347549785709136,-0.0003126226705050627,-0.09250731562473048,-0.059107927374479834,0.14534418055604084
