column,dtype,non_null_count,missing_count,missing_pct,n_unique
abdo_res_mean,float64,1080,0,0.0,134
abdo_res_std,float64,1080,0,0.0,1045
airflow_mean,float64,1080,0,0.0,445
airflow_std,float64,1080,0,0.0,1080
ecg_mean,float64,1080,0,0.0,64
ecg_std,float64,1080,0,0.0,320
eeg_mean,float64,1080,0,0.0,140
eeg_sec_mean,float64,1080,0,0.0,187
eeg_sec_std,float64,1080,0,0.0,1024
eeg_std,float64,1080,0,0.0,1006
emg_mean,float64,1080,0,0.0,56
emg_std,float64,1080,0,0.0,173
eog_l_mean,float64,1080,0,0.0,290
eog_l_std,float64,1080,0,0.0,1030
eog_r_mean,float64,1080,0,0.0,260
eog_r_std,float64,1080,0,0.0,1036
epoch_end_sample,float64,1080,0,0.0,1080
epoch_end_sec,float64,1080,0,0.0,1080
epoch_index,float64,1080,0,0.0,1080
epoch_start_sample,float64,1080,0,0.0,1080
epoch_start_sec,float64,1080,0,0.0,1080
pr_mean,float64,1080,0,0.0,914
pr_std,float64,1080,0,0.0,902
record_id,int64,1080,0,0.0,1
sao2_mean,float64,1080,0,0.0,443
sao2_std,float64,1080,0,0.0,477
sleep_stage,object,1080,0,0.0,5
sleep_stage_1,float64,1080,0,0.0,2
sleep_stage_2,float64,1080,0,0.0,2
sleep_stage_3,float64,1080,0,0.0,2
sleep_stage_r,float64,1080,0,0.0,2
sleep_stage_w,float64,1080,0,0.0,2
thor_res_mean,float64,1080,0,0.0,313
thor_res_std,float64,1080,0,0.0,1076
