,record_id,epoch_index,epoch_start_sample,epoch_end_sample,epoch_start_sec,epoch_end_sec,sao2_mean,sao2_std,pr_mean,pr_std,eeg_sec_mean,eeg_sec_std,ecg_mean,ecg_std,emg_mean,emg_std,eog_l_mean,eog_l_std,eog_r_mean,eog_r_std,eeg_mean,eeg_std,airflow_mean,airflow_std,thor_res_mean,thor_res_std,abdo_res_mean,abdo_res_std,sleep_stage_1,sleep_stage_2,sleep_stage_3,sleep_stage_r,sleep_stage_w
record_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epoch_index,,1.0,1.0,1.0,1.0,1.0,-0.19590357505044573,-0.08786188049510794,0.29126183787365656,-0.017541551675585187,-0.019248707059857404,-0.2222458094562363,0.30259032707168676,-0.09932898275591501,0.2583422949626139,-0.26212450536129694,-0.11533824873727658,-0.12251495819556038,-0.11424564144493696,-0.150855764272414,0.030860068133435573,-0.29495544669545537,0.05655118043887435,-0.7397332312789779,0.012233024187490544,-0.14578616776892095,0.0069643989126288944,-0.1007252844305442,0.034138379252948846,0.11428629327268859,-0.31139544203453046,0.3601881891048842,-0.17552645095584923
epoch_start_sample,,1.0,1.0,1.0,1.0,1.0,-0.19590357505044567,-0.08786188049510797,0.2912618378736566,-0.01754155167558523,-0.019248707059857394,-0.22224580945623632,0.30259032707168676,-0.09932898275591504,0.25834229496261396,-0.26212450536129694,-0.1153382487372766,-0.12251495819556038,-0.11424564144493699,-0.15085576427241398,0.03086006813343554,-0.29495544669545537,0.05655118043887437,-0.7397332312789782,0.01223302418749054,-0.14578616776892092,0.00696439891262889,-0.10072528443054418,0.03413837925294886,0.1142862932726886,-0.3113954420345305,0.3601881891048842,-0.17552645095584918
epoch_end_sample,,1.0,1.0,1.0,1.0,1.0,-0.19590357505044567,-0.08786188049510797,0.2912618378736566,-0.01754155167558523,-0.019248707059857394,-0.22224580945623632,0.30259032707168676,-0.09932898275591504,0.25834229496261396,-0.26212450536129694,-0.1153382487372766,-0.12251495819556038,-0.11424564144493699,-0.15085576427241398,0.03086006813343554,-0.29495544669545537,0.05655118043887437,-0.7397332312789782,0.01223302418749054,-0.14578616776892092,0.00696439891262889,-0.10072528443054418,0.03413837925294886,0.1142862932726886,-0.3113954420345305,0.3601881891048842,-0.17552645095584918
epoch_start_sec,,1.0,1.0,1.0,1.0,1.0,-0.19590357505044567,-0.08786188049510797,0.2912618378736566,-0.01754155167558523,-0.019248707059857394,-0.22224580945623632,0.30259032707168676,-0.09932898275591504,0.25834229496261396,-0.26212450536129694,-0.1153382487372766,-0.12251495819556038,-0.11424564144493699,-0.15085576427241398,0.03086006813343554,-0.29495544669545537,0.05655118043887437,-0.7397332312789782,0.01223302418749054,-0.14578616776892092,0.00696439891262889,-0.10072528443054418,0.03413837925294886,0.1142862932726886,-0.3113954420345305,0.3601881891048842,-0.17552645095584918
epoch_end_sec,,1.0,1.0,1.0,1.0,1.0,-0.19590357505044567,-0.08786188049510797,0.2912618378736566,-0.01754155167558523,-0.019248707059857394,-0.22224580945623632,0.30259032707168676,-0.09932898275591504,0.25834229496261396,-0.26212450536129694,-0.1153382487372766,-0.12251495819556038,-0.11424564144493699,-0.15085576427241398,0.03086006813343554,-0.29495544669545537,0.05655118043887437,-0.7397332312789782,0.01223302418749054,-0.14578616776892092,0.00696439891262889,-0.10072528443054418,0.03413837925294886,0.1142862932726886,-0.3113954420345305,0.3601881891048842,-0.17552645095584918
sao2_mean,,-0.19590357505044573,-0.19590357505044567,-0.19590357505044567,-0.19590357505044567,-0.19590357505044567,1.0,-0.715827418230233,-0.07570932371987153,-0.52106939778653,0.02964541982547372,0.023705399814855612,-0.06353547722891438,-0.08982511581322468,0.1610645206836523,-0.09883313928828749,-0.17075428369962367,-0.09932900401998541,-0.12052043910808295,-0.07027846479727173,0.015572047366428133,0.04048179674515063,-0.020992675563194528,0.23259248763921436,0.10563582390332088,-0.09792215693373485,-0.10133916017393692,-0.1713012062532585,-0.006384503723708476,0.06565376491378093,0.1143214148304559,-0.15658300011431245,-0.044941760617019724
sao2_std,,-0.08786188049510794,-0.08786188049510797,-0.08786188049510797,-0.08786188049510797,-0.08786188049510797,-0.715827418230233,1.0,-0.0006082200208046039,0.7686812588041525,-0.02481157197816396,0.11178143321460547,0.0651034320507965,0.23224715838813598,-0.38934938501588945,0.33250835225865705,0.29518342084137456,0.23554582009515598,0.2620605532634238,0.2048446819831678,-0.025155317469121075,0.09171962711829722,-0.012641818064422175,0.029621368566492803,-0.2163922315037032,0.2733297346698409,0.14588423368564965,0.3165356209858633,-0.00869037549862844,-0.07461768703219102,-0.08540599304726221,0.053360606102903274,0.13089294792027711
pr_mean,,0.29126183787365656,0.2912618378736566,0.2912618378736566,0.2912618378736566,0.2912618378736566,-0.07570932371987153,-0.0006082200208046039,1.0,0.31767540295643115,0.03264683947912823,-0.20736022129149714,-0.25652751458949,0.3408596820109392,-0.20605393861455706,0.37296745740188053,0.11782116767715468,0.5244225808379623,0.18920905045283345,0.510347745535188,0.10625688925396769,-0.24461885840185804,-0.00231513268967774,-0.3581062336349234,-0.18953408015495657,0.06981129104615398,-0.06480096161001067,0.3917027687502071,0.13042590782205638,-0.20312039861705714,-0.5456388298421668,0.2190622745184739,0.5544265625332879
pr_std,,-0.017541551675585187,-0.01754155167558523,-0.01754155167558523,-0.01754155167558523,-0.01754155167558523,-0.52106939778653,0.7686812588041525,0.31767540295643115,1.0,-0.019354903615037427,0.12455274291530558,0.04719643950080839,0.3766588549111634,-0.43322280548416897,0.48961152068137725,0.33850385260450644,0.45818137594259084,0.29960460579374565,0.418032421236211,-0.029975578739333934,0.0942211410524211,-0.047270234107417625,-0.030110353486897515,-0.31085308275456724,0.43740056331752786,0.06317722240268893,0.5467851550259618,0.043223158880595226,-0.12132078988712468,-0.2446489318440052,0.16540845608932234,0.2259806746473787
eeg_sec_mean,,-0.019248707059857404,-0.019248707059857394,-0.019248707059857394,-0.019248707059857394,-0.019248707059857394,0.02964541982547372,-0.02481157197816396,0.03264683947912823,-0.019354903615037427,1.0,-0.016075031047867307,-0.06293140174398316,-0.05614959638762514,0.019309527356200912,-0.00452534978898408,0.09059730861980066,0.0349082119421876,0.16929613561615398,0.04571647214856577,0.5779424368882058,-0.0074969003335568635,0.0844851489323052,0.007964822808335163,-0.09320933769023285,-0.03181762315243183,0.0063534915133045275,0.013502831660903918,-0.003797701873300958,0.012871303913034692,-0.057216703722230595,0.00037114684517768206,0.044780259974573626
eeg_sec_std,,-0.2222458094562363,-0.22224580945623632,-0.22224580945623632,-0.22224580945623632,-0.22224580945623632,0.023705399814855612,0.11178143321460547,-0.20736022129149714,0.12455274291530558,-0.016075031047867307,1.0,0.17609911342561263,0.30646920909243175,-0.21076815582152067,0.2420081103731458,0.03772666346536295,0.1925503748619683,0.040068161198812735,0.22263874171297446,-0.1371817174737098,0.8009017983770971,-0.00464297722023699,0.23051459482562675,-0.06339820781580352,0.5047720574024349,-0.01302473459502527,0.2836270411018013,-0.08907943406498159,-0.1561254170735854,0.4670754049351021,-0.20695069481545056,-0.06331990039723619
ecg_mean,,0.30259032707168676,0.30259032707168676,0.30259032707168676,0.30259032707168676,0.30259032707168676,-0.06353547722891438,0.0651034320507965,-0.25652751458949,0.04719643950080839,-0.06293140174398316,0.17609911342561263,1.0,0.09649378083501932,0.10906869761355549,-0.17061299787534268,-0.07048681942114073,-0.09554459566975901,0.02069601154839723,-0.15131786603447,-0.0789474237487255,0.10515954237038552,-0.03145870214805161,-0.07209663530829778,0.16013250019655473,0.2242595660482351,-0.013730949613823495,0.08162337436295633,-0.0523015626516644,0.10571384979070066,0.14321371313536244,0.07311389222314049,-0.3286807753649673
ecg_std,,-0.09932898275591501,-0.09932898275591504,-0.09932898275591504,-0.09932898275591504,-0.09932898275591504,-0.08982511581322468,0.23224715838813598,0.3408596820109392,0.3766588549111634,-0.05614959638762514,0.30646920909243175,0.09649378083501932,1.0,-0.3378910911374621,0.41855725568270674,0.2301129915753106,0.4518982798301696,0.2781622633479458,0.40844799862700004,-0.053369187054227475,0.24378072646905358,-0.02205451748608583,0.07864848456810104,-0.16078485779284843,0.4856591469374217,-0.018041840192822182,0.5303688872414882,-0.03491360356141046,-0.10548243308201012,-0.09584261466959713,-0.12699598707403945,0.36276754495375774
emg_mean,,0.2583422949626139,0.25834229496261396,0.25834229496261396,0.25834229496261396,0.25834229496261396,0.1610645206836523,-0.38934938501588945,-0.20605393861455706,-0.43322280548416897,0.019309527356200912,-0.21076815582152067,0.10906869761355549,-0.3378910911374621,1.0,-0.7987420458370824,-0.35169167258477924,-0.4023106079280084,-0.35043089828199714,-0.42505657019758647,0.03238271244306084,-0.21888229284918778,0.04755037862869884,-0.09311391670401262,0.1387383820491944,-0.3522469644521061,-0.12245916357631728,-0.3950706766760441,0.010918343123374889,0.137401721952572,0.10743469484678465,0.08732550674599335,-0.36659043338333824
emg_std,,-0.26212450536129694,-0.26212450536129694,-0.26212450536129694,-0.26212450536129694,-0.26212450536129694,-0.09883313928828749,0.33250835225865705,0.37296745740188053,0.48961152068137725,-0.00452534978898408,0.2420081103731458,-0.17061299787534268,0.41855725568270674,-0.7987420458370824,1.0,0.3316603724095787,0.5633868401389409,0.33407110349754376,0.5833994687628536,-0.0420167904161347,0.2730629734239752,-0.02829126862238405,0.10970945760165846,-0.14559413050251305,0.4266272947502887,0.0044423889138174594,0.5164014604874081,-0.008980361353495656,-0.18601004704260038,-0.1705063855236443,-0.12063690183021668,0.5225338754132868
eog_l_mean,,-0.11533824873727658,-0.1153382487372766,-0.1153382487372766,-0.1153382487372766,-0.1153382487372766,-0.17075428369962367,0.29518342084137456,0.11782116767715468,0.33850385260450644,0.09059730861980066,0.03772666346536295,-0.07048681942114073,0.2301129915753106,-0.35169167258477924,0.3316603724095787,1.0,0.2570317096502624,0.662823528218996,0.25592690928680223,0.23336259590725605,0.05989881484575203,0.04100241642671008,0.03280519923148886,-0.14683102981774143,0.23798797266361146,0.09545916746627196,0.4018164564229968,-0.013742330454014717,-0.08501220236830406,-0.07052611507416268,-0.041241835622166885,0.22120671429897654
eog_l_std,,-0.12251495819556038,-0.12251495819556038,-0.12251495819556038,-0.12251495819556038,-0.12251495819556038,-0.09932900401998541,0.23554582009515598,0.5244225808379623,0.45818137594259084,0.0349082119421876,0.1925503748619683,-0.09554459566975901,0.4518982798301696,-0.4023106079280084,0.5633868401389409,0.2570317096502624,1.0,0.3094612951049999,0.9273678589599514,0.030057207053076018,0.22325274479067383,-0.03178688607649701,0.04191423621154718,-0.16031330409438388,0.29960716224183487,-0.06872304620716845,0.5134748311783361,0.04437330553026595,-0.353262912274914,-0.22873368432916202,0.08783202183121727,0.5655447878387698
eog_r_mean,,-0.11424564144493696,-0.11424564144493699,-0.11424564144493699,-0.11424564144493699,-0.11424564144493699,-0.12052043910808295,0.2620605532634238,0.18920905045283345,0.29960460579374565,0.16929613561615398,0.040068161198812735,0.02069601154839723,0.2781622633479458,-0.35043089828199714,0.33407110349754376,0.662823528218996,0.3094612951049999,1.0,0.30900690362166733,0.1263619653721445,0.07110180951697889,-0.023249208073824947,0.017307501687009834,-0.033615737967599965,0.2869692801067938,-0.0676336779188574,0.47729909866740056,-0.045469158719446234,-0.06954105339469764,-0.09549296023371306,-0.02638273018054927,0.22546720039319848
