,epoch_index,epoch_start_sample,epoch_end_sample,epoch_start_sec,epoch_end_sec,sfreq_hz,eeg_mean,eeg_std,eeg_var,eeg_rms,eeg_zero_crossing_rate,eeg_bandpower_delta,eeg_rel_power_delta,eeg_bandpower_theta,eeg_rel_power_theta,eeg_bandpower_alpha,eeg_rel_power_alpha,eeg_bandpower_beta,eeg_rel_power_beta,eeg_theta_alpha_ratio,eeg_spectral_entropy,sleep_stage_n1,sleep_stage_n2,sleep_stage_n3,sleep_stage_rem,sleep_stage_w
epoch_index,1.0,0.999830781806725,0.999830781806725,0.999830781806725,0.999830781806725,,0.009664638270454074,-0.049747312559094904,-0.04974731198841498,-0.05380963584061866,0.11215929642135068,-0.04135669530952576,-0.00693918411641696,-0.037287782036767185,0.03619723713235825,-0.04234572240419937,0.013805853249247563,-0.06523358377830947,-0.01709104227452442,0.014344721981209778,-0.027322162692812114,0.02114750495743827,-0.018695082157857645,-0.08192567932220216,0.014629659964814433,0.03166564232083034
epoch_start_sample,0.999830781806725,1.0,1.0,1.0,1.0,,0.009422586506146394,-0.04884081452817379,-0.04884081379075103,-0.05276981246307419,0.1100001754737224,-0.041458724857920314,-0.006688580032851638,-0.03734011873321618,0.03638932925314778,-0.04236824825561768,0.013967552182137029,-0.06586787100574917,-0.01771086417103302,0.014315823377154483,-0.0288141767186291,0.02151979505217016,-0.016919728771721165,-0.08057146556452455,0.01590868411815109,0.028766711268964983
epoch_end_sample,0.999830781806725,1.0,1.0,1.0,1.0,,0.009422586506146394,-0.04884081452817379,-0.04884081379075103,-0.05276981246307419,0.1100001754737224,-0.041458724857920314,-0.006688580032851638,-0.03734011873321618,0.03638932925314778,-0.04236824825561768,0.013967552182137029,-0.06586787100574917,-0.01771086417103302,0.014315823377154483,-0.0288141767186291,0.02151979505217016,-0.016919728771721165,-0.08057146556452455,0.01590868411815109,0.028766711268964983
epoch_start_sec,0.999830781806725,1.0,1.0,1.0,1.0,,0.009422586506146394,-0.04884081452817379,-0.04884081379075103,-0.05276981246307419,0.1100001754737224,-0.041458724857920314,-0.006688580032851638,-0.03734011873321618,0.03638932925314778,-0.04236824825561768,0.013967552182137029,-0.06586787100574917,-0.01771086417103302,0.014315823377154483,-0.0288141767186291,0.02151979505217016,-0.016919728771721165,-0.08057146556452455,0.01590868411815109,0.028766711268964983
epoch_end_sec,0.999830781806725,1.0,1.0,1.0,1.0,,0.009422586506146394,-0.04884081452817379,-0.04884081379075103,-0.05276981246307419,0.1100001754737224,-0.041458724857920314,-0.006688580032851638,-0.03734011873321618,0.03638932925314778,-0.04236824825561768,0.013967552182137029,-0.06586787100574917,-0.01771086417103302,0.014315823377154483,-0.0288141767186291,0.02151979505217016,-0.016919728771721165,-0.08057146556452455,0.01590868411815109,0.028766711268964983
sfreq_hz,,,,,,,,,,,,,,,,,,,,,,,,,,
eeg_mean,0.009664638270454074,0.009422586506146394,0.009422586506146394,0.009422586506146394,0.009422586506146394,,1.0,-0.0648719208667132,-0.06487192241558772,-0.07024812219770535,-0.03714362605443409,-0.05869053254571632,-0.007010072035860628,-0.05509811430656942,0.027924204809260833,-0.06501218987701009,0.003681145546662169,-0.054143413354839354,-0.002851887724283285,0.014767340387451134,0.005038047785678849,0.0020749487597528653,0.0016438322281218558,-0.025274486115814294,-0.0069376768266215146,0.01203444832788057
eeg_std,-0.049747312559094904,-0.04884081452817379,-0.04884081452817379,-0.04884081452817379,-0.04884081452817379,,-0.0648719208667132,1.0,0.9999999999979536,0.9930937076629083,-0.09361997247504762,0.8904198443576605,0.35843899438848215,0.7876890752463707,-0.41172788450160014,0.6342118225142306,-0.43862672986547285,0.5847041533225741,-0.20808062756817758,0.23851060281569578,-0.26720357543434853,-0.2047586290329037,-0.2815508670996871,0.1547833912953339,-0.207474136056902,0.37649749579063363
eeg_var,-0.04974731198841498,-0.04884081379075103,-0.04884081379075103,-0.04884081379075103,-0.04884081379075103,,-0.06487192241558772,0.9999999999979536,1.0,0.9930936932826243,-0.09361997247523955,0.8904198443594822,0.3584389943895054,0.7876890752479817,-0.41172788441691477,0.6342118225155269,-0.4386267272356768,0.5847041533237689,-0.2080806249428359,0.23851060281640074,-0.2672035754346804,-0.20475862903332354,-0.28155086710026433,0.15478339129565125,-0.20747413605732734,0.3764974957914055
eeg_rms,-0.05380963584061866,-0.05276981246307419,-0.05276981246307419,-0.05276981246307419,-0.05276981246307419,,-0.07024812219770535,0.9930937076629083,0.9930936932826243,1.0,-0.1149224192392202,0.8773454809285908,0.3467621016440962,0.7786380726502484,-0.4021707876103318,0.630006983401656,-0.4264548761200296,0.5800515652487245,-0.19938916585643174,0.23092036135736677,-0.26519283670251287,-0.19885048392098595,-0.27643428224456584,0.1523480616713009,-0.19683198445635652,0.3647136854858102
