column,dtype,non_null_count,missing_count,missing_pct,n_unique
dc1_mean,float64,321,35841,99.1123,321
dc1_std,float64,321,35841,99.1123,321
dc2_mean,float64,321,35841,99.1123,321
dc2_std,float64,321,35841,99.1123,321
x7_x8_mean,float64,321,35841,99.1123,320
x7_x8_std,float64,321,35841,99.1123,321
a1_mean,float64,361,35801,99.0017,361
a1_std,float64,361,35801,99.0017,361
a2_mean,float64,361,35801,99.0017,360
a2_std,float64,361,35801,99.0017,361
c3_mean,float64,361,35801,99.0017,361
c3_std,float64,361,35801,99.0017,361
c4_mean,float64,361,35801,99.0017,361
c4_std,float64,361,35801,99.0017,361
f3_mean,float64,361,35801,99.0017,359
f3_std,float64,361,35801,99.0017,361
f4_mean,float64,361,35801,99.0017,361
f4_std,float64,361,35801,99.0017,361
loc_mean,float64,361,35801,99.0017,360
loc_std,float64,361,35801,99.0017,361
o1_mean,float64,361,35801,99.0017,360
o1_std,float64,361,35801,99.0017,361
o2_mean,float64,361,35801,99.0017,361
o2_std,float64,361,35801,99.0017,361
roc_mean,float64,361,35801,99.0017,361
roc_std,float64,361,35801,99.0017,361
dc6_mean,float64,488,35674,98.6505,216
dc6_std,float64,488,35674,98.6505,486
dc5_mean,float64,809,35353,97.7628,806
dc5_std,float64,809,35353,97.7628,809
dc04_mean,float64,7783,28379,78.4774,490
dc04_std,float64,7783,28379,78.4774,782
f3_a2_mean,float64,8389,27773,76.8016,7672
f3_a2_std,float64,8389,27773,76.8016,8025
f4_a1_mean,float64,8389,27773,76.8016,7668
f4_a1_std,float64,8389,27773,76.8016,8025
c3_a2_mean,float64,8877,27285,75.4521,8045
c3_a2_std,float64,8877,27285,75.4521,8513
c4_a1_mean,float64,8877,27285,75.4521,8069
c4_a1_std,float64,8877,27285,75.4521,8513
loc_a2_mean,float64,8877,27285,75.4521,8002
loc_a2_std,float64,8877,27285,75.4521,8513
o1_a2_mean,float64,8877,27285,75.4521,8060
o1_a2_std,float64,8877,27285,75.4521,8513
o2_a1_mean,float64,8877,27285,75.4521,7998
o2_a1_std,float64,8877,27285,75.4521,8513
roc_a1_mean,float64,8877,27285,75.4521,8063
roc_a1_std,float64,8877,27285,75.4521,8513
sao2_mean,float64,9238,26924,74.4538,6116
sao2_std,float64,9238,26924,74.4538,6301
dc3_mean,float64,9851,26311,72.7587,9480
dc3_std,float64,9851,26311,72.7587,9487
24_mean,float64,11436,24726,68.3756,6311
24_std,float64,11436,24726,68.3756,10167
25_mean,float64,11436,24726,68.3756,10077
25_std,float64,11436,24726,68.3756,10169
26_mean,float64,11436,24726,68.3756,7315
26_std,float64,11436,24726,68.3756,10163
27_mean,float64,11436,24726,68.3756,7667
27_std,float64,11436,24726,68.3756,10165
28_mean,float64,11436,24726,68.3756,9261
28_std,float64,11436,24726,68.3756,10169
29_mean,float64,11436,24726,68.3756,9547
29_std,float64,11436,24726,68.3756,10169
30_mean,float64,11436,24726,68.3756,9513
30_std,float64,11436,24726,68.3756,10169
31_mean,float64,11436,24726,68.3756,9778
31_std,float64,11436,24726,68.3756,10169
dc01_mean,float64,11436,24726,68.3756,9871
dc01_std,float64,11436,24726,68.3756,10009
dc02_mean,float64,11436,24726,68.3756,126
dc02_std,float64,11436,24726,68.3756,85
dc7_mean,float64,12620,23542,65.1015,892
dc7_std,float64,12620,23542,65.1015,3413
dc4_mean,float64,15684,20478,56.6285,15140
dc4_std,float64,15684,20478,56.6285,15215
sleep_stage,float64,22320,13842,38.2778,3
dc8_mean,float64,24726,11436,31.6244,909
dc8_std,float64,24726,11436,31.6244,649
x1_mean,float64,24726,11436,31.6244,12772
x1_std,float64,24726,11436,31.6244,23881
x2_mean,float64,24726,11436,31.6244,23361
x2_std,float64,24726,11436,31.6244,23888
x3_mean,float64,24726,11436,31.6244,16939
x3_std,float64,24726,11436,31.6244,23834
x4_mean,float64,24726,11436,31.6244,16849
x4_std,float64,24726,11436,31.6244,23840
x5_mean,float64,24726,11436,31.6244,15904
x5_std,float64,24726,11436,31.6244,23868
x6_mean,float64,24726,11436,31.6244,22184
x6_std,float64,24726,11436,31.6244,23895
x7_mean,float64,24726,11436,31.6244,22902
x7_std,float64,24726,11436,31.6244,23896
x8_mean,float64,24726,11436,31.6244,23199
x8_std,float64,24726,11436,31.6244,23896
c3_m2_mean,float64,26924,9238,25.5462,20337
c3_m2_std,float64,26924,9238,25.5462,25190
c4_m1_mean,float64,26924,9238,25.5462,20351
c4_m1_std,float64,26924,9238,25.5462,25190
e1_m2_mean,float64,26924,9238,25.5462,20214
e1_m2_std,float64,26924,9238,25.5462,25191
e2_m1_mean,float64,26924,9238,25.5462,21315
e2_m1_std,float64,26924,9238,25.5462,25191
f3_m2_mean,float64,26924,9238,25.5462,20946
f3_m2_std,float64,26924,9238,25.5462,25191
f4_m1_mean,float64,26924,9238,25.5462,20924
f4_m1_std,float64,26924,9238,25.5462,25190
o1_m2_mean,float64,26924,9238,25.5462,19046
o1_m2_std,float64,26924,9238,25.5462,25191
o2_m1_mean,float64,26924,9238,25.5462,18733
o2_m1_std,float64,26924,9238,25.5462,25191
spo2_mean,float64,26924,9238,25.5462,19624
spo2_std,float64,26924,9238,25.5462,19335
event_group,object,36162,0,0.0,3
source_file,object,36162,0,0.0,36162
subject_unit_id,object,36162,0,0.0,6
