,sleep_stage,e1_m2_mean,e1_m2_std,e2_m1_mean,e2_m1_std,f3_m2_mean,f3_m2_std,c3_m2_mean,c3_m2_std,o1_m2_mean,o1_m2_std,f4_m1_mean,f4_m1_std,c4_m1_mean,c4_m1_std,o2_m1_mean,o2_m1_std,24_mean,24_std,25_mean,25_std,26_mean,26_std,27_mean,27_std,28_mean,28_std,29_mean,29_std,dc01_mean,dc01_std,30_mean,30_std,31_mean,31_std,spo2_mean,spo2_std,dc02_mean,dc02_std,x1_mean,x1_std,x2_mean,x2_std,x3_mean,x3_std,x4_mean,x4_std,x5_mean,x5_std,x6_mean,x6_std,dc4_mean,dc4_std,x7_mean,x7_std,x8_mean,x8_std,dc8_mean,dc8_std,loc_a2_mean,loc_a2_std,roc_a1_mean,roc_a1_std,f3_a2_mean,f3_a2_std,c3_a2_mean,c3_a2_std,o1_a2_mean,o1_a2_std,f4_a1_mean,f4_a1_std,c4_a1_mean,c4_a1_std,o2_a1_mean,o2_a1_std,dc3_mean,dc3_std,sao2_mean,sao2_std,roc_mean,roc_std,a1_mean,a1_std,loc_mean,loc_std,a2_mean,a2_std,c4_mean,c4_std,o2_mean,o2_std,c3_mean,c3_std,o1_mean,o1_std,f4_mean,f4_std,f3_mean,f3_std,dc7_mean,dc7_std,dc04_mean,dc04_std,dc5_mean,dc5_std,dc6_mean,dc6_std,x7_x8_mean,x7_x8_std,dc1_mean,dc1_std,dc2_mean,dc2_std
sleep_stage,1.0,-0.0012452081170770798,0.2087512861370387,-0.0061860793667344125,0.1393444564529058,-0.007693349214647432,0.5163700708505978,-0.006961124152150599,0.505927033740048,-0.012746840542953422,0.3683077446011579,-0.0014430746028597154,0.5524090691704788,0.002933085272670266,0.5379074175834715,0.0005662225111645039,0.4180606332872951,-0.030046427005462395,-0.07102074153460099,-0.02299159055940971,0.013006961575599114,-0.048166608447678866,-0.061986325224055644,-0.014647159705351617,-0.020356866730239124,0.013127638284844654,0.09579961410704961,0.004228484074206153,-0.07958608005591339,-0.009086212573127143,-0.056068853367694314,-0.008454500278451349,0.08860240021706757,0.004998361874538661,-0.03534385942472325,-0.013701921050368094,-0.06501171539589044,0.021483371147518252,-0.01290829401001259,0.013226749199106434,-0.11816046610047666,-0.027597346214592488,0.020422075136030445,0.022552857057565736,-0.03542039251245847,0.013980416011404054,-0.032619037946902234,0.00967656652968558,-0.04434652611652366,0.018381323728416797,-0.09424372830803257,0.07605383594245875,0.012819175308081692,-0.02066211010628653,0.04326841017505915,-0.0058973138052851115,-0.009291776281496342,-0.028225553603022775,-0.017079267593227084,0.014105405815237664,0.339287212965481,-0.00334028623231796,0.4510774622275551,0.00044291122125206256,0.5639760751784506,0.023418038521714663,0.5078781554630465,0.027242504957282664,0.4303850531356417,-0.012019030474037743,0.5641707478997496,-0.011671563169618407,0.5479122385424585,0.00032728041079950113,0.44389067074970645,0.04965650948540421,0.010090124987827478,0.017589386826276386,-0.07586075617561251,-0.6439998883435682,0.43814829449757553,-0.6625648536305762,0.5555692562864261,-0.7152198627330698,0.35702257173006074,-0.7196701248256988,0.5634188666954774,-0.7153302391855143,0.5840815218540748,-0.650197526418305,0.6369267912247256,-0.6414676329733577,0.5903399866829827,-0.7260848128747756,0.6367771803420614,-0.8409249485928703,0.5555624751972537,-0.6160340879948993,0.47267115525689807,-0.01177373423743668,-0.009475074788299485,-0.041145233903197166,-0.17372861472304424,0.3864394377212265,-0.40204810076056396,-0.10639775862230208,0.15094214398121544,-0.032179856106797695,-0.2684491050661611,0.31920077557591275,-0.18872463824241476,-0.11947215048833514,-0.38142828545389296
e1_m2_mean,-0.0012452081170770798,1.0,0.012114074254236787,-0.011363385727445175,0.04171920172744358,0.4136717433933624,0.08310756915426348,0.3484165299036162,0.07185190851380178,0.24027104224155077,0.09283246985465352,-0.01630705870168437,0.09349812220795134,-0.013208009374019046,0.09730135022166327,-0.03529482478643902,0.10295391353425623,-0.007977884013657639,-0.009198738363626505,-0.0027768746325965233,-0.0009354891692904029,0.0037841891991754312,-0.012201961140986152,-0.0011126498514068685,-0.00811831250365678,0.0024663656726491316,-0.016825778530508113,0.0025765936785873923,-0.006392944403691876,-0.001662147845286232,-0.008542235101022614,0.01845355799503682,0.0024098331066819034,0.000851222302191912,-0.008117805323605204,0.021448795279440953,-0.02175253578596152,-0.011035304227068946,-0.014784335755094191,0.006993909357974964,0.005473702004732829,0.0027461262767939617,-0.0027951193314763112,-0.0038117118634373097,-0.001658095999608535,-0.003900401440022061,0.0036937448502880423,-0.002728927258719474,0.0005615017806667703,-0.006352399609138862,-0.00044212243352957393,-0.0013705472299938497,-0.011221128080296787,-0.0005906291028495781,-0.005535730212165742,-0.04081261452939629,-0.017539229494696485,0.0013748993461682349,-0.011110752730204006,,,,,,,,,,,,,,,,,-0.025757236380700915,0.001236749490263898,,,,,,,,,,,,,,,,,,,,,,,-0.003157909841450578,0.004502985124646934,-0.004794419543433362,-0.0009143936219832114,0.015076735875784886,0.025902406176175445,,,-0.057852913102487205,0.05732187203594704,-0.0640519620567384,0.05878491897183335,0.06417671389466545,-0.006105593631535593
e1_m2_std,0.2087512861370387,0.012114074254236787,1.0,-0.007127560531511618,0.30313425439543684,0.03768666826702208,0.6127325899678541,0.045104622945846516,0.5215092403278544,0.04672162330060121,0.5158912935870414,-0.020300972401122278,0.5920264540345749,-0.03470386473044912,0.5384031989306907,-0.029296042736969348,0.5257866539495216,0.19150869250813846,0.576932601502343,0.49413493755331045,0.3814754073869667,-0.07762208641063548,0.523115759632653,0.04732290792045631,0.4968852221088067,-0.3599444035147434,0.4764102178952501,-0.4153502977006031,0.5119834937549472,0.07430592154420138,0.05348219563649044,-0.4079810611182268,0.5134793403336383,-0.32799125241736693,0.43186927474409254,-0.02749918381438284,0.10735340506259308,-0.06001498834130778,0.06368974781466877,0.0180316402407074,0.1212038548772457,0.0016656193703792502,0.0486365475403946,-0.02276822384358131,0.13675025107287644,-0.01188175822956598,0.05450140055098051,0.014400951738507825,-0.033606463467461704,-0.02478968589939991,0.017439330287565412,0.04689514133751629,-0.025166192106999496,0.01391898883561972,0.10075257490086198,-0.02901785302888098,0.17184864207703096,0.10251759737419938,0.07027690211418622,,,,,,,,,,,,,,,,,0.34486431101990667,0.2682359917838393,,,,,,,,,,,,,,,,,,,,,,,0.05186132206335204,0.04856590970833716,-0.0526406979927101,-0.018595070298192372,0.12592431496618764,0.2127109411453169,,,0.05872157741494517,0.2781181997570589,-0.05123361361054639,0.06944824930008425,-0.09930462262732591,0.19696494311297816
e2_m1_mean,-0.0061860793667344125,-0.011363385727445175,-0.007127560531511618,1.0,0.07728209991756868,-0.0051971183892090735,-0.0013328937776983297,0.005430424685137678,-0.006967335327501324,0.0024224754873227233,-0.012622705646290457,0.20342546899887617,-0.07033067469525803,0.18286827559879748,-0.07714381298239968,0.17645582252956518,-0.06498390159466175,-0.002497932159527643,-0.0014483881115214768,-0.009684078982027807,-0.017775259267431377,-0.0010490717992648444,-0.005391977174492776,0.0026163163867993456,-0.002303317605856066,0.001660095274566923,-0.007932100102790473,0.0004974551139517915,-0.002673502542917143,-0.030327380895235505,-0.018685347183976048,0.013342735947049789,-0.030126204608437738,-0.005905168609500264,-0.03262324845402814,0.0020371666273409296,-0.00032368505091782344,0.015076013719571171,-0.02164633097889223,-0.0011749183731882805,-0.00419111455427379,1.4026296785410657e-05,0.005398043162570425,0.0008977396340124435,0.007833411824642537,0.0004400986122425322,-0.0005024855538146699,7.272467477556018e-05,-0.00022755547340430274,0.001992435478091371,0.0032574724059967653,0.0006523486361618896,0.001322133549862372,0.003651842963125981,0.01477159565827733,-0.016847091588336274,0.030839923138346707,-0.013911396266718789,-0.000635703005474474,,,,,,,,,,,,,,,,,-0.002484400502760629,0.012703149623144911,,,,,,,,,,,,,,,,,,,,,,,0.00036835607113833884,8.254797574797364e-05,0.04756821147370675,-0.0021053538724283105,0.0927346071925818,0.16071170375394653,,,-0.11244838665301556,0.04208891396788474,-0.008475351765099512,0.15801227426104256,0.10342346821507606,0.11599882353845314
e2_m1_std,0.1393444564529058,0.04171920172744358,0.30313425439543684,0.07728209991756868,1.0,0.005409833489707265,0.2225228303660482,-0.004750256764697991,0.1970803736537761,-0.009968355945891658,0.2014036700029731,-0.1498897381554562,0.32727036100979284,-0.1424183034126425,0.3237889142637153,-0.14031184644203723,0.3151616898511394,0.09234225418191418,0.26785324451516485,0.21370523662948415,0.25471846421484573,-0.0188607450737326,0.25978535714010514,0.06352500425711113,0.26909806806212067,-0.12709647976152655,0.2108997488142685,-0.16980485778108395,0.19923105146350673,0.017126226065374964,0.06633105000582007,-0.15851327857976183,0.31700145008556974,-0.12127962005106883,0.25437643648060876,-0.0018691105858953075,0.03974262196671685,-0.004931595735649822,0.1186820337661688,0.009361401886829386,0.04945255308499173,-0.004018656858120683,0.011790390357952128,-0.01107725984111452,0.06487484184391622,-0.0029375356621699133,0.014841493628825449,0.006900794467273288,-0.0178337832776241,-0.03843141813285739,-0.015531641849841783,0.014525459563943618,-0.016354019301595343,0.006795952190327764,0.062451912637333656,-0.03341574401524414,0.12787749950668806,0.007982163449363838,0.02213676300075588,,,,,,,,,,,,,,,,,0.2767021975934439,0.20142848006051978,,,,,,,,,,,,,,,,,,,,,,,0.002596362249788256,0.010937891274185539,0.08851155610856581,0.021450445272801863,0.15397426265656236,0.2658940419207862,,,0.1910821153264843,0.35311154395402644,-0.07113165647808942,0.1065997885170882,-0.19596418296823995,0.2002216111036337
f3_m2_mean,-0.007693349214647432,0.4136717433933624,0.03768666826702208,-0.0051971183892090735,0.005409833489707265,1.0,0.07130894928514526,0.7296175382176875,0.07082955818554897,0.37941680502137315,0.061418028155353285,0.05838507659918147,0.02791454166121694,0.029982546204409058,0.025589708235927495,-0.0245927913411288,0.03529542917639892,-0.02677971258247774,-0.0024067803234369676,0.014499679221009767,0.018886948718465094,0.0061195912703003695,0.00914149885157254,0.017426825622291406,0.018363222501878614,0.0036410959385790513,0.0066864452153322824,-0.01681008835778232,0.012015248823197863,0.012265830157369602,0.0005200901422780891,0.013582301300701335,0.025868509235999534,-0.0075300012733481815,0.025422899685323304,0.009788405228026003,-0.005808701988811855,0.006345064617744453,-0.01007515904634376,-0.0024069880364172755,-0.00571463609389434,0.00909118949828855,0.000310377468703926,-0.006278495917293847,0.003551490442524096,-0.008890611097003703,-0.000475353582635928,-0.005657957125032339,-3.958570589905321e-05,-0.004024132635397294,0.006305274551137024,-0.0048811684346663515,-0.008205580297742343,0.0039067254078912535,-0.004277273442098491,0.010077862982505247,0.01099364180386258,0.001985012918448669,0.007223040631679206,,,,,,,,,,,,,,,,,-0.03416363904559637,0.036319238548946885,,,,,,,,,,,,,,,,,,,,,,,0.004592392593189731,0.004866300369607986,0.0067023904566862035,0.014691627520573925,-0.05304760677522255,-0.029260090444783178,,,-0.07560814087217525,0.049862126434518456,-0.1869658759596281,0.18089075820724854,0.1286016778626271,-0.042376266926856906
f3_m2_std,0.5163700708505978,0.08310756915426348,0.6127325899678541,-0.0013328937776983297,0.2225228303660482,0.07130894928514526,1.0,0.06773604709460274,0.8338939002333267,0.07092508707640129,0.6676422986969069,-0.017402907252085077,0.6148055750928341,-0.042109120903080006,0.5473447101329268,-0.021035182282788233,0.47898448472795174,0.10257016764982868,0.2967091466890352,0.2590242248285539,0.259064365443257,0.032797027381545864,0.35100369344767013,0.07076809955304239,0.32820022546534877,-0.13450994824225962,0.308594752321041,-0.24160899144404951,0.23779445967239424,0.028525938588235742,0.05641708610155759,-0.19444317793867563,0.34845808993606764,-0.15838324004103815,0.2032082449804464,-0.028775414347685928,0.06696089304707216,-0.025374202104981564,0.07488386034156828,0.023062529545864935,0.06324588090157987,-0.03200148767730508,0.12492224993654437,-0.007164641521983294,0.07219040884690799,-0.004709268688788555,0.016672619280077686,0.013897506706954856,-0.05118763683158442,-0.00827232956317624,-0.07599726833106125,0.048130798072089385,-0.07851597142762558,0.017831741442959303,0.08551157144092549,-0.03452574122011353,0.05012186169428723,-0.001992823228863818,0.03993645482459258,,,,,,,,,,,,,,,,,0.2913908741587905,0.3034859573016595,,,,,,,,,,,,,,,,,,,,,,,-0.02680427734015429,0.011641093645487996,-0.05215400593463378,-0.04311467492974341,0.15798664869766957,0.2917564076194425,,,0.1150736305217502,0.39804582172971803,-0.17130683522973175,0.17233198428218766,-0.16511255101285627,0.2250105470152196
c3_m2_mean,-0.006961124152150599,0.3484165299036162,0.045104622945846516,0.005430424685137678,-0.004750256764697991,0.7296175382176875,0.06773604709460274,1.0,-0.030136838443000896,0.4058609370257799,0.021343198518085575,0.0616163324370496,0.011671512327529585,0.0546609205463723,0.009982987797968603,0.02005880178921515,0.007074600958908101,-0.01701134660134876,0.000230251004196263,0.028316327520666235,0.020087261048813893,0.02951369089417536,0.019968455498402943,0.032607726309383446,0.029979380661092295,0.0026984601814909136,0.008912011091625665,-0.02651937668513503,0.01535856315109279,0.0074180194515391824,-0.0019820843812507235,0.027212267750794085,0.024771716606270113,-0.005319684098099692,0.021109125958032406,0.01385074665735276,-0.022449828974837795,0.007375754964555664,-0.02939452678394153,0.0034175000577629467,0.001346177033641809,0.005236239588084436,-0.0042785878934058635,0.0009852402292107752,0.0016236736936425316,-0.0024669413420332553,0.0010451946096632304,-0.005355688164247591,0.0007515650408042752,0.009268948684867214,0.0077366659109141785,-0.0031646923528426056,-0.005253259409208219,0.004068458515652767,-0.004725400286548065,0.00691923640218295,0.006401336466691875,0.0017965507791319246,0.008525173175266125,,,,,,,,,,,,,,,,,-0.08900658799098908,-0.06900550856568019,,,,,,,,,,,,,,,,,,,,,,,0.004662072599776825,0.00546424109081566,0.006450543163630069,0.008605985036448037,-0.04714222340439072,-0.022652462361416697,,,-0.06674666266274447,0.05560672901048837,-0.1247949223684264,0.11585105440840512,0.0771986848702094,-0.031720065099492406
c3_m2_std,0.505927033740048,0.07185190851380178,0.5215092403278544,-0.006967335327501324,0.1970803736537761,0.07082955818554897,0.8338939002333267,-0.030136838443000896,1.0,0.04491825960026307,0.7039069436508183,-0.03915011079791686,0.49100096348923544,-0.06194884868849844,0.5061725307945517,-0.04103563037494574,0.46460061804443903,0.0888340381293648,0.18230874411351278,0.1543918969345568,0.18970216379427612,0.08412412862665855,0.27453005690795285,0.11313361332832352,0.27866302021863254,-0.02151302857782038,0.22357925006054857,-0.16316565347017134,0.15100701285273163,0.017989660963746164,0.1158603387962796,-0.04981722238906561,0.3135483385937695,-0.061786041359394056,0.16719781273967577,-0.04166831406486161,0.10132664999458853,0.005979019115188077,0.1008980805473348,0.02249050089590799,0.0606665340210144,-0.014502535417095178,0.12028522814704332,-0.0036908404740075566,0.06772079340621485,-0.0020469369418459745,0.010776979725289439,0.009439779803631022,-0.02924924738326581,-0.016055254321203367,-0.08287336066380303,0.04392159642613479,-0.054603453893249485,0.011138895552594725,0.10715794827945221,-0.028319791374044834,0.04225500078427305,-0.00596804421822991,0.037349184883030996,,,,,,,,,,,,,,,,,0.1866516797399447,0.1741949763564511,,,,,,,,,,,,,,,,,,,,,,,-0.014698594899600497,0.016095742067340473,-0.03303089700969598,-0.012573317879989058,0.2501545532769074,0.3309151081395494,,,0.05741895134797078,0.3549977163149831,-0.027360096383694403,0.0801442744395928,-0.12449101653035435,0.35614477770287806
o1_m2_mean,-0.012746840542953422,0.24027104224155077,0.04672162330060121,0.0024224754873227233,-0.009968355945891658,0.37941680502137315,0.07092508707640129,0.4058609370257799,0.04491825960026307,1.0,-0.20535909550168727,0.010612077748539596,-0.012523059283393043,0.02496834994106622,-0.020144558942734633,0.04318010084405498,-0.013060780538578507,0.004173180259833423,0.01603078033291716,0.015877757765582028,0.02360164794124341,0.012942509847777372,0.015236816076367161,0.012084654370524852,0.03040339039073634,-0.018104350287660442,0.012904392783780517,-0.026678864731584335,0.026821986055547108,0.0036748356675490347,-0.009244466104148216,0.004796092508390402,0.0368349389283723,-0.01738172198356995,0.030916201878903468,0.012186031573261384,-0.007146009218200436,0.012210314576231868,-0.010645062577392868,0.010124464163870568,0.002166172760687081,0.0007917223256479459,0.007901115035995145,-0.00019923973139163205,0.004257249044177425,-0.000884174350919,0.003001179695637362,-0.0021070832889424937,0.0031257926167591174,0.003514644585464447,-0.0015029221264337472,0.006016038542064815,-0.00812773745721381,0.008309007084251209,-0.03912117998004314,0.0167549448839084,-0.035906245474521606,-0.003302190481630967,0.0025945371416608584,,,,,,,,,,,,,,,,,-0.06335429875897916,-0.038936898192018086,,,,,,,,,,,,,,,,,,,,,,,-0.0015250471116639787,0.0018461901685159754,0.008077435784299805,0.00803484442608298,-0.1181027458344351,-0.11459953384294756,,,-0.16238238053881565,-0.019461330664363265,-0.062218830162725766,0.013268410314783494,-0.06916296423620907,-0.09304535590329122
