,sleep_stage,e1_m2_mean,e1_m2_std,e2_m1_mean,e2_m1_std,f3_m2_mean,f3_m2_std,c3_m2_mean,c3_m2_std,o1_m2_mean,o1_m2_std,f4_m1_mean,f4_m1_std,c4_m1_mean,c4_m1_std,o2_m1_mean,o2_m1_std,24_mean,24_std,25_mean,25_std,26_mean,26_std,27_mean,27_std,28_mean,28_std,29_mean,29_std,dc01_mean,dc01_std,30_mean,30_std,31_mean,31_std,spo2_mean,spo2_std,dc02_mean,dc02_std,x1_mean,x1_std,x2_mean,x2_std,x3_mean,x3_std,x4_mean,x4_std,x5_mean,x5_std,x6_mean,x6_std,dc4_mean,dc4_std,x7_mean,x7_std,x8_mean,x8_std,dc8_mean,dc8_std,loc_a2_mean,loc_a2_std,roc_a1_mean,roc_a1_std,f3_a2_mean,f3_a2_std,c3_a2_mean,c3_a2_std,o1_a2_mean,o1_a2_std,f4_a1_mean,f4_a1_std,c4_a1_mean,c4_a1_std,o2_a1_mean,o2_a1_std,dc3_mean,dc3_std,sao2_mean,sao2_std,roc_mean,roc_std,a1_mean,a1_std,loc_mean,loc_std,a2_mean,a2_std,c4_mean,c4_std,o2_mean,o2_std,c3_mean,c3_std,o1_mean,o1_std,f4_mean,f4_std,f3_mean,f3_std,dc7_mean,dc7_std,dc04_mean,dc04_std,dc5_mean,dc5_std,dc6_mean,dc6_std,x7_x8_mean,x7_x8_std,dc1_mean,dc1_std,dc2_mean,dc2_std
sleep_stage,1.0,-0.0018965461577451859,0.4256998342376235,0.002735934492168115,0.4807944480780063,-0.00549891081605138,0.6684905381630382,-0.005697753850378146,0.687185157561824,-0.007511130734273828,0.6361433639502269,0.003502390980077864,0.6823627149398703,0.007052315534165587,0.7008673744820647,-0.0024791949507964837,0.6375446049262357,0.0008499501520776861,-0.2964827866461067,-0.010588641687414463,0.03585167464454649,-0.005558712969735465,-0.12380026044390627,-0.013373412254347416,-0.0799529120053929,0.02887698755270628,0.10809631392619766,-0.0010245404850962264,-0.0865420201933529,-0.0009835218821561,-0.046284563608540004,-0.007049322116347175,0.09285900968157268,-0.013897633474774159,-0.02200012830981061,-0.05469260224749775,-0.22512856593452812,-0.0808232133252371,-0.049420097462133064,0.010055070707784565,-0.16716963678156752,0.017565164161962667,-0.008655577432919063,-0.0028110835818618307,-0.07038263792285261,0.006675704041682169,-0.07757071345619336,-0.0075366173290938,0.018995296350662404,0.007645934917555595,-0.11554358334096973,0.012218906421703693,0.012891590765998336,-0.03217283024773466,0.061783497577448124,0.007442854053384714,0.010516371840467286,-0.04754355147456158,-0.01883103636006041,0.02057377030008176,0.46621532337680865,-0.007594662742600282,0.5563338386748766,0.0037322406900657584,0.6583666210076553,0.01061073225436141,0.6396481586695641,0.016384532819250112,0.5747676199636761,-0.005284710062073585,0.6656272607244647,-0.0004695234186778479,0.6672624075233291,-0.013628214827939326,0.6073488858258081,-0.0008081783543076016,0.06431156946931288,-0.05505819363531913,-0.1662914271743421,-0.33806170189140666,0.4165403112590546,-0.2958039891549808,0.4225771273642583,-0.2958039891549808,0.40446667904864725,-0.253546276418555,0.46483484010068415,-0.16903085094570333,0.46483484010068415,-0.21128856368212914,0.4225771273642583,-0.08451542547285167,0.4225771273642583,-0.21128856368212914,0.4225771273642583,-0.46483484010068415,0.46483484010068415,-0.04225771273642583,0.2958039891549808,-0.010840991320952986,-0.02003412085086333,-0.04342050784268819,-0.15749680459806387,0.3103569748809948,-0.12933825115509884,-0.10625733547968128,0.15697072068362847,0.10790953270047379,-0.25575408931372134,0.30673497090449636,-0.08156941054524004,-0.1733349974086351,-0.1588904142912488
e1_m2_mean,-0.0018965461577451859,1.0,0.012321427609523433,-0.2376019345986129,0.010316832257554885,0.5580264750338056,0.012861926366873657,0.4975283322489803,0.01225084159620024,0.32955627640237056,0.010267785996849906,-0.09416539191355372,0.007464931631516316,-0.1686966938739159,0.008072590663594635,-0.29737557050585445,0.007663974606457608,0.023440984208314523,0.001904957806388647,0.02137293784047485,0.021863766990470615,0.013773240268741027,0.007420795682404358,0.014679857558580763,0.010159958704275766,-0.007183635034680213,-0.004044266434175766,-0.014344516009442407,0.007637018301774818,0.007988364725300129,0.010812055021205169,-0.030291626456461596,0.005669348514192573,-0.004135110801899644,0.004285225951315735,-0.004933403494776087,0.005074773558988983,-0.0012577502325735641,0.006741911400598392,-0.008377013835647162,0.01091126162673539,-0.034476481329935804,-0.01648558572539964,-0.01187572993781368,0.003535743043787933,-0.022099757566388146,0.013154719150803367,0.030792726271606438,0.005476938383658073,0.0015748832235823122,0.0032948168218010277,0.0004676159937878165,-0.006827348482907836,-0.009182884681477422,0.008037617101049884,-0.007162711628431513,0.004410556427636859,0.0013639075197552327,-0.00788486583719591,,,,,,,,,,,,,,,,,-0.024376806414843626,0.013201024407829415,,,,,,,,,,,,,,,,,,,,,,,0.00011476661322836969,-0.00046562972728734505,-0.011273416344889521,0.0043880048640752775,0.005666432568282422,0.013219620111200868,,,-0.014784751912831585,0.0864048882572499,-0.06352075081274614,0.025333236465036497,0.028315473921340338,-0.032220137014219906
e1_m2_std,0.4256998342376235,0.012321427609523433,1.0,0.0036295706403666078,0.8453258825386234,0.0020313029335994196,0.6264224716303173,-0.00016682245529132245,0.589992094971898,0.001530865644892913,0.5800210508871646,0.00012241012480406822,0.5859166985493646,-0.002411968495307358,0.5484237778927669,0.004969029960595331,0.5367238894815766,0.022245796007096738,0.32451990881172554,0.01023637960014028,0.03136727506918593,0.02353038590449518,0.19695565969335846,0.03725747685815065,0.16962480593062768,0.00295586991464913,0.17911587234378817,-0.0054674426867486695,0.11460462956522832,0.054130473348563385,0.010984699972641723,-0.0004949265888804221,0.11237451828102457,-0.009185696377228924,0.11523172224673738,0.003680171383134786,0.08409507823994343,-0.0965430831600866,-0.004052846262698392,-0.006415865432610257,0.2451291144834807,-0.03771591235316281,-0.042974557805592076,-0.014024983249804838,0.16314759276942284,0.007486945649617087,0.08334526521302955,0.008858319505872441,0.21398720399826826,-0.0009673316878612637,-0.003957286221946267,-0.015161027794569865,-0.07539486252106006,0.07815698217404184,0.062002674899154564,-0.06744886064796364,0.19434088582998135,0.15129125570933244,0.18091253933558918,,,,,,,,,,,,,,,,,0.41652978549848346,0.3582583651715544,,,,,,,,,,,,,,,,,,,,,,,0.14730912382943007,0.1627422455994102,-0.1228028020787655,-0.0777370614548297,0.05019990422011958,0.0747427729726592,,,-0.04655138432324498,0.24302548325303303,0.017242192488535438,0.20349124920183434,-0.0866470511406513,-0.029868084982875718
e2_m1_mean,0.002735934492168115,-0.2376019345986129,0.0036295706403666078,1.0,0.008382688185753925,0.03976733450427268,-0.003051391225638391,-0.05736621613865827,-0.0009568323552384628,-0.25107127964403003,0.0009628506048254302,0.6979938914900361,-0.004309287493154669,0.6074919180752935,-0.002093720688407727,0.3739597570061451,0.00047124511306973073,-0.012909268467926659,0.014167440903608412,-0.028392641370054893,-0.019211805291471047,0.013064846092684743,0.0033230433862736814,0.01571867472926023,0.012882136856919,0.01720318637909057,-0.00268751708674011,-0.014786194275326577,0.009196905229485582,0.009729189691323255,0.002002991732079174,0.013195842335926257,-0.014694417145706575,0.0040061903473665806,-0.008777118838345855,-0.0026068047950982645,0.0005692853829942025,-0.008801615982618284,-0.006764291364885347,0.0015121616259971523,0.009239736364242161,0.04076553773968573,0.0352118128850262,0.016791318889936985,-0.003877860326984997,0.0063800339622687345,-0.0033081015247349425,-0.0029728815405767263,-0.0020447347156070553,-0.0038846003812794236,-0.0011152616624200997,0.003914301842329577,0.004937837701130518,0.0012253480367564983,-0.002111997199631185,0.008024555981109476,0.0009551308771687017,-1.0352719945803886e-05,0.00542507420723769,,,,,,,,,,,,,,,,,0.00986951043321083,0.003847077340755363,,,,,,,,,,,,,,,,,,,,,,,0.007356239093273654,0.002803538384287828,0.01599977539291259,0.0071973682881815255,-6.675568634187837e-05,0.04275320767421989,,,-0.06716239419653611,0.002792673345742439,0.015353263654667281,0.007859937862791435,0.05661208724170132,-0.012435604798355402
e2_m1_std,0.4807944480780063,0.010316832257554885,0.8453258825386234,0.008382688185753925,1.0,0.004011963874560398,0.6657025643227689,0.0002199041472317336,0.6078581888141259,-0.0033107449188238412,0.5728119967229964,0.003433308585487226,0.717893468608152,0.003315861884991943,0.664165698082895,0.003894500601092589,0.6201376360504273,0.01767486754654877,0.29524557149641273,0.012024991669532518,0.09709612664146997,0.01955852619469699,0.15293376353881785,0.03187717569901462,0.11333121616295168,0.0026591074487538327,0.19960578027855905,-0.004563064698917348,0.03094966537106653,0.007762551155311786,0.03564261506520143,0.0029179532615194385,0.1291584042865694,-0.0018729788916622212,0.10993775101267224,0.007089969704085943,0.038930215011248846,-0.11157621917657791,-0.037850810492737974,-0.005752921568685172,0.2164248379705886,-0.012501398114248325,-0.023724632682689498,-0.004277713643629076,0.17461822628105422,0.00592004341593558,0.061133992704438846,0.014889221645831958,0.17388021988571087,0.012443508152852577,-0.06822992148581744,-0.019677232743871034,-0.060702787642868315,0.06162825779486964,0.15499809377372625,-0.03442343230170364,0.16916567804272564,0.09558021938308574,0.12745901439571752,,,,,,,,,,,,,,,,,0.2912622876570643,0.17640437473776382,,,,,,,,,,,,,,,,,,,,,,,0.10326073698408432,0.11667064578867448,0.01217177522968787,0.02070168256615647,0.07907427294363499,0.088942865850119,,,0.026951517508083125,0.3525356272130957,-0.015631711847680967,0.20367337609566377,-0.10711093051605039,-0.06236975387473152
f3_m2_mean,-0.00549891081605138,0.5580264750338056,0.0020313029335994196,0.03976733450427268,0.004011963874560398,1.0,0.005135290343136621,0.8196816679931521,0.004984891293750603,0.46146627132935475,0.002769862364829082,0.27458141310733036,0.003923116316260538,0.16817782520851163,0.004869756454495692,-0.08989205269837522,0.003739520463469085,-0.004303899461730439,0.0004274251765271868,0.022462579264715607,0.019074215521084136,0.007383986933813187,0.00891843921192656,0.022496658820723995,0.0030398423164770733,-0.004253708092416993,0.005241522733327319,-0.019230111792501243,0.009559020753781539,0.016247349036083342,0.008590575236700869,-0.016249398716752177,-0.0023338104306180173,-0.003059873034290967,0.008758636403558088,-0.00250660175480027,-0.003271024059538074,-0.006082495459601912,-0.005337584033500001,-0.00997796688702523,0.006172325672215039,-0.024641660830695362,-0.010181858966594681,-0.004696525945968277,-0.00422945157307969,-0.013672438010380842,-0.0017247407487275487,0.03371541818083573,0.0009888429552514985,0.001766393175161199,-5.658923923003464e-05,-0.0013926591434214937,-0.009050388089239855,-0.0054016644359128,-0.004195511695508381,-0.002509740854213419,-0.0019266267176150256,0.0013383707164527168,-0.0018786521647000858,,,,,,,,,,,,,,,,,-0.03148920954973255,0.03183585365101779,,,,,,,,,,,,,,,,,,,,,,,0.003493331210804746,0.0016426023599370016,0.0074968038814922176,0.019989111204521598,-0.004956246458706417,0.02198982901022287,,,-0.007600896775573369,0.06857440977230626,0.011990989071569123,0.044241238702440275,0.050486704236691174,-0.04667328600029098
f3_m2_std,0.6684905381630382,0.012861926366873657,0.6264224716303173,-0.003051391225638391,0.6657025643227689,0.005135290343136621,1.0,0.007386436151717223,0.9442039263171678,0.005735817765591703,0.8100372360939426,-0.0011796815527417082,0.9200912778965251,0.0007858456292470787,0.8887710592923637,0.00740859400946723,0.7903598285215703,0.011167654212390245,0.006541250810796843,0.004121594605870651,0.07680026250515685,0.02483179334979203,-0.014083780024187628,0.017901883310028663,-0.02676096045728516,0.005328001752857543,0.23526343279681114,-0.005918299458151075,-0.05858599730808198,0.004089829505167359,0.0765045165765948,-0.004638908177523249,0.15899036402869351,-0.01842753826053235,-0.004009503788740579,0.025231594280843088,-0.0942498169586102,-0.08524416446588957,0.011988627254282595,-0.004022247805734455,0.007651630042466859,-0.024323355212703252,0.07806829080253315,-0.011085227201122544,0.037954552711698245,0.010889454454791543,-0.04221677504148739,0.02014377760810065,0.15332297928431377,0.013333547800719658,-0.1549128670218241,-0.05002055564775946,-0.03368604748554902,0.07023854755278428,0.19559403868742975,-0.034910992896024,0.032617708385053894,0.0370518201709769,0.03224854721511115,,,,,,,,,,,,,,,,,0.21517964487685176,0.13532215549471485,,,,,,,,,,,,,,,,,,,,,,,0.05051786174933561,0.062372378572085156,-0.04297962780710448,-0.07279293714357107,0.016562663261159807,0.052121306669762585,,,-0.05304373703377505,0.2461952893713357,-0.028760811516805016,0.1316625065304464,-0.12546946653509025,-0.061943098043768505
c3_m2_mean,-0.005697753850378146,0.4975283322489803,-0.00016682245529132245,-0.05736621613865827,0.0002199041472317336,0.8196816679931521,0.007386436151717223,1.0,0.006841051327303737,0.6105601943927834,-0.00013628570310365628,0.1761419443718023,0.0037619634600821973,0.16865593278187807,0.004143003369933316,-0.004586119215809702,0.002673490338310099,0.00975326709936719,-0.004623810262711368,0.02716989053597945,0.013431493302215308,0.006369555215143928,-0.00444094710989155,0.014796677838284195,-0.004022295949152972,-0.008250389294118492,-0.006675938200994973,-0.021513197035374937,-0.005085340665999704,0.010523195762138735,0.0038363761260022194,-0.020729816736551335,-0.00843368806133688,-0.012493990015926819,-0.0014220400824385053,0.002569312207228435,-0.007381961047725875,-0.0004331759359877584,0.008629683773719034,-0.0016047929783733637,0.00010212285947135979,-0.03217748463135062,-0.00959507705879301,0.008290145941762351,-0.0066259749202281235,-0.011151635362419525,-4.4828156533599246e-05,0.030648349739402746,-0.002959327600775525,-0.0017337642397419087,-0.004499983288741472,-0.0007330222344180604,-0.010288164089878047,-0.004372664306146392,-0.0022997215749892357,-0.0025879806426536587,0.006135665392257324,-0.0023106226065842356,-0.008475371841385021,,,,,,,,,,,,,,,,,-0.022946522681896807,0.030432816622695473,,,,,,,,,,,,,,,,,,,,,,,-0.00029832053572814493,-0.0015495461624003733,0.011116551779789237,0.020900192877924256,-0.0014737043365255975,0.00585980689103722,,,-0.020728912298530088,0.01674043956079865,0.008036259947368353,-0.0008095940982168564,0.053064965799502706,-0.05458365766378044
c3_m2_std,0.687185157561824,0.01225084159620024,0.589992094971898,-0.0009568323552384628,0.6078581888141259,0.004984891293750603,0.9442039263171678,0.006841051327303737,1.0,0.0037139810346942153,0.8662096861584192,0.001231058343161115,0.8841664802830492,0.0031677120981453352,0.905375820110235,0.007730644876735481,0.8116829750429693,0.012420291189733479,0.009999513324354904,0.005845199761755252,0.04729820352283797,0.017513221269959866,0.015363624061651808,0.023146940620636554,0.00790773033116711,0.001930486539307516,0.24027162551001882,-0.008351566393269913,-0.01664440980587499,0.007212941659271791,0.10228996586080875,-0.00018231608148337316,0.1697034408692702,-0.017482894999496432,0.006852437965027696,0.013615785108200008,-0.08711565676857207,-0.06896144719992497,0.019878721369183713,-0.0040909714731325025,-0.001483839071425248,-0.02672769086636766,0.11228914732601032,-0.013566875442473682,0.03143495420568435,0.009545715861945114,-0.03150827343943354,0.019493916043777905,0.1570360737059388,0.01185332724908272,-0.18487211204932164,-0.04733637470786637,-0.02288656917881669,0.07989878235381757,0.20245167648994628,-0.041731812723909724,0.010136977680942868,0.018892420626877172,0.01438627582763021,,,,,,,,,,,,,,,,,0.27141214792105767,0.21434142680032728,,,,,,,,,,,,,,,,,,,,,,,0.048945283291870666,0.0646569519047621,-0.03131308321777684,-0.04586675098277775,-0.024928165089684796,0.016624339699309224,,,-0.04212229005724045,0.19878969060196203,-0.010525265571486619,0.09628635281825042,-0.13766398676496197,-0.05963821326986707
o1_m2_mean,-0.007511130734273828,0.32955627640237056,0.001530865644892913,-0.25107127964403003,-0.0033107449188238412,0.46146627132935475,0.005735817765591703,0.6105601943927834,0.0037139810346942153,1.0,-0.002639479328828345,-0.12480679904088543,0.003020054463613255,-0.04973463480160276,0.0021272027505893293,0.15927132549438153,0.001531509145620038,0.0009899326444879712,-0.0005608877998786333,0.027245090476200714,0.016417213819138413,0.0028310478099343016,-0.0013624106632768435,0.005277126565534873,-0.002231742830665518,-0.027785201759828203,-0.0019575138827260205,-0.0018103805892990964,0.0009349788803850489,0.0037879665145717045,-0.011185820245441918,-0.015221389728709055,0.00758120263329339,0.003688094033892659,0.012875818269538417,-0.009887690137421783,-0.0016438311412909055,-0.001765268504560219,-0.004508004539311232,-0.0047565600067388004,-0.011099635681147644,-0.04090145342244611,-0.03015192852462145,0.011095160226405467,-0.007681443336354817,-0.0008290774766006006,-0.0005705057205405844,0.032836434504656696,-0.0008168874792182882,-0.005920574196363867,-0.002749535608878749,0.003981183059751792,0.0042989612360382215,-0.005313148604580598,0.007042613451595091,-0.014009816570203502,0.00792379907191751,0.0014062117686448813,-0.004460885119349017,,,,,,,,,,,,,,,,,-0.043085011038340455,0.015407819363940683,,,,,,,,,,,,,,,,,,,,,,,-0.0006849439880115345,0.0012733076189936085,0.009360539410869388,0.018143831384153982,-0.027973713862479238,0.0032147939294778975,,,-0.07525560806720702,-0.04314630042468784,0.06782286416516109,-0.0013880827868392321,-0.00690558488361159,-0.051870796194817596
