column,dtype,non_null_count,missing_count,missing_pct,n_unique
eog_mean,float64,130,3651,96.5618,129
eog_std,float64,130,3651,96.5618,130
eeg_o2_a1_mean,float64,199,3582,94.7368,199
eeg_o2_a1_std,float64,199,3582,94.7368,199
resp_abdomen_mean,float64,229,3552,93.9434,229
resp_abdomen_std,float64,229,3552,93.9434,229
resp_sum_mean,float64,279,3502,92.621,279
resp_sum_std,float64,279,3502,92.621,279
resp_chest_mean,float64,497,3284,86.8553,497
resp_chest_std,float64,497,3284,86.8553,497
eog_right_mean,float64,861,2920,77.2282,859
eog_right_std,float64,861,2920,77.2282,861
eeg_c4_a1_mean,float64,976,2805,74.1867,975
eeg_c4_a1_std,float64,976,2805,74.1867,976
emg_mean,float64,991,2790,73.79,990
emg_std,float64,991,2790,73.79,991
so2_mean,float64,1246,2535,67.0458,1245
so2_std,float64,1246,2535,67.0458,1246
sv_mean,float64,1246,2535,67.0458,1240
sv_std,float64,1246,2535,67.0458,1240
resp_abdominal_mean,float64,1511,2270,60.037,1511
resp_abdominal_std,float64,1511,2270,60.037,1511
eeg_c3_o1_mean,float64,2606,1175,31.0764,2597
eeg_c3_o1_std,float64,2606,1175,31.0764,2606
resp_nasal_mean,float64,3155,626,16.5565,3151
resp_nasal_std,float64,3155,626,16.5565,3155
aux_raw,object,3781,0,0.0,135
bp_mean,float64,3781,0,0.0,3781
bp_std,float64,3781,0,0.0,3781
ecg_mean,float64,3781,0,0.0,3742
ecg_std,float64,3781,0,0.0,3781
epoch_end_sample,int64,3781,0,0.0,744
epoch_end_sec,float64,3781,0,0.0,744
epoch_index,int64,3781,0,0.0,741
epoch_start_sample,int64,3781,0,0.0,744
epoch_start_sec,float64,3781,0,0.0,744
event_tokens,object,3781,0,0.0,55
record_id,object,3781,0,0.0,16
sleep_stage,object,3781,0,0.0,7
