column,category,frequency,proportion_pct
aux_raw,2 X,728,19.2542
aux_raw,2 OA,494,13.0653
aux_raw,1 X,493,13.0389
aux_raw,1 HA,285,7.5377
aux_raw,2 HA,252,6.6649
aux_raw,W X,117,3.0944
aux_raw,2 H,117,3.0944
aux_raw,W HA,116,3.068
aux_raw,1 CAA,80,2.1158
aux_raw,2 LA,80,2.1158
aux_raw,2 L,78,2.0629
aux_raw,3 L,77,2.0365
aux_raw,R X,58,1.534
aux_raw,R H,53,1.4017
aux_raw,W CAA,48,1.2695
aux_raw,1 OA,45,1.1902
aux_raw,2 X X,45,1.1902
aux_raw,1 H,41,1.0844
aux_raw,3 X,34,0.8992
aux_raw,R HA,30,0.7934
aux_raw,3 LA,30,0.7934
aux_raw,4 L,26,0.6876
aux_raw,R OA,25,0.6612
aux_raw,2 CA,23,0.6083
aux_raw,4 LA,22,0.5819
aux_raw,2 CAA,21,0.5554
aux_raw,1 CA,20,0.529
aux_raw,R L,16,0.4232
aux_raw,2 OA OA,15,0.3967
aux_raw,1 X X,15,0.3967
aux_raw,4 LA LA,14,0.3703
aux_raw,2 A,13,0.3438
aux_raw,1 HA HA,11,0.2909
aux_raw,4 X,10,0.2645
aux_raw,3 H,9,0.238
aux_raw,W OA,9,0.238
aux_raw,3 LA LA,8,0.2116
aux_raw,4 L L,6,0.1587
aux_raw,3 HA,6,0.1587
aux_raw,2 X L,6,0.1587
aux_raw,W L,6,0.1587
aux_raw,1 L,6,0.1587
aux_raw,W CA,5,0.1322
aux_raw,2 L L,5,0.1322
aux_raw,R A,5,0.1322
aux_raw,W HA X,4,0.1058
aux_raw,1 HA X,4,0.1058
aux_raw,2 HA H,4,0.1058
aux_raw,2 L A,4,0.1058
aux_raw,2 HA HA,4,0.1058
aux_raw,1 A,4,0.1058
aux_raw,W X X,4,0.1058
aux_raw,2 H LA,4,0.1058
aux_raw,2 LA LA,4,0.1058
aux_raw,4 L LA,4,0.1058
aux_raw,W LA,4,0.1058
aux_raw,1 L L,4,0.1058
aux_raw,3 OA,4,0.1058
aux_raw,W CAA L,4,0.1058
