,epoch_index,epoch_start_sample,epoch_end_sample,epoch_start_sec,epoch_end_sec,ecg_mean,ecg_std,bp_mean,bp_std,eeg_c4_a1_mean,eeg_c4_a1_std,resp_sum_mean,resp_sum_std,eeg_o2_a1_mean,eeg_o2_a1_std,resp_nasal_mean,resp_nasal_std,eeg_c3_o1_mean,eeg_c3_o1_std,resp_chest_mean,resp_chest_std,eog_mean,eog_std,emg_mean,emg_std,resp_abdominal_mean,resp_abdominal_std,eog_right_mean,eog_right_std,sv_mean,sv_std,so2_mean,so2_std,resp_abdomen_mean,resp_abdomen_std
epoch_index,1.0,0.998884942639964,0.9988849571688665,0.998884942639964,0.9988849571688665,-0.22332842884074416,0.07565939949870328,0.30409139922571526,0.0002961111940574129,0.33269719992124874,-0.09881016183438096,-0.26253559089718775,-0.5330257423655497,-0.01563550687238125,-0.3612128840434003,-0.009603978756964539,-0.030663342351450136,0.0929432471881612,-0.09783738863974109,0.15391164149022898,0.0715503826522483,-0.10593209083981375,0.19645410816432657,-0.038292218945622396,0.1782409341219059,0.036227913218046276,0.09694713306342659,-0.08773179343830617,-0.17476320228788172,-0.25404505057261234,-0.10301901475906561,0.1932291107790554,-0.060225756132812,-0.1838690048990545,-0.20521421661934033
epoch_start_sample,0.998884942639964,1.0,0.9999999990249059,1.0,0.9999999990249059,-0.24046367814950648,0.08280461713459052,0.3034606783473129,0.00195448984006146,0.3325597767700594,-0.10141104737442566,-0.26253559089718775,-0.5330257423655497,-0.01563550687238125,-0.3612128840434003,0.0006998492073580467,-0.03640555031239375,0.09555145574626563,-0.08366490217132048,0.15391164149022898,0.0715503826522483,-0.10593209083981375,0.19645410816432657,-0.03460977595005399,0.18139671680123995,0.03821946881420411,0.09127593053099303,-0.08381640602312566,-0.17273304661549363,-0.22550542359046388,-0.14313038675986903,0.20124365188768661,-0.058750964891985835,-0.1838690048990545,-0.20521421661934033
epoch_end_sample,0.9988849571688665,0.9999999990249059,1.0,0.9999999990249059,1.0,-0.24046277139193742,0.08280381046335562,0.30346112105811496,0.001955309382524164,0.3325597767700594,-0.10141104737442566,-0.26253559089718775,-0.5330257423655497,-0.01563550687238125,-0.3612128840434003,0.0007004404512180516,-0.03640641003849587,0.09555156556627363,-0.08366556859360694,0.15391164149022898,0.0715503826522483,-0.10593209083981375,0.19645410816432657,-0.03460977595005399,0.18139671680123995,0.03821946881420411,0.09127593053099303,-0.08381640602312566,-0.17273304661549363,-0.22550735936202704,-0.14312949646996398,0.20124066081223482,-0.058752988671001885,-0.1838690048990545,-0.20521421661934033
epoch_start_sec,0.998884942639964,1.0,0.9999999990249059,1.0,0.9999999990249059,-0.24046367814950648,0.08280461713459052,0.3034606783473129,0.00195448984006146,0.3325597767700594,-0.10141104737442566,-0.26253559089718775,-0.5330257423655497,-0.01563550687238125,-0.3612128840434003,0.0006998492073580467,-0.03640555031239375,0.09555145574626563,-0.08366490217132048,0.15391164149022898,0.0715503826522483,-0.10593209083981375,0.19645410816432657,-0.03460977595005399,0.18139671680123995,0.03821946881420411,0.09127593053099303,-0.08381640602312566,-0.17273304661549363,-0.22550542359046388,-0.14313038675986903,0.20124365188768661,-0.058750964891985835,-0.1838690048990545,-0.20521421661934033
epoch_end_sec,0.9988849571688665,0.9999999990249059,1.0,0.9999999990249059,1.0,-0.24046277139193742,0.08280381046335562,0.30346112105811496,0.001955309382524164,0.3325597767700594,-0.10141104737442566,-0.26253559089718775,-0.5330257423655497,-0.01563550687238125,-0.3612128840434003,0.0007004404512180516,-0.03640641003849587,0.09555156556627363,-0.08366556859360694,0.15391164149022898,0.0715503826522483,-0.10593209083981375,0.19645410816432657,-0.03460977595005399,0.18139671680123995,0.03821946881420411,0.09127593053099303,-0.08381640602312566,-0.17273304661549363,-0.22550735936202704,-0.14312949646996398,0.20124066081223482,-0.058752988671001885,-0.1838690048990545,-0.20521421661934033
ecg_mean,-0.22332842884074416,-0.24046367814950648,-0.24046277139193742,-0.24046367814950648,-0.24046277139193742,1.0,-0.05184018087901101,0.019267645541312224,-0.24500016848996561,-0.8902353211835736,0.18436926290359246,0.16296786750175773,0.40271535176931084,0.022768805768010242,0.1717960854700853,0.2817565792644822,0.1006328760207042,-0.13527317828474644,0.2625765520398037,-0.6500172521290677,0.21927523049403472,0.15373709576543118,0.01585756921604691,0.4532279902936421,0.47256046241424926,0.10323507677470388,-0.4182587984770422,0.7407195880297834,0.3302700409507995,0.21878839863071167,-0.14361446874723113,-0.26847157011278316,-0.004559233662078098,0.19125312365265815,0.21030575157743298
ecg_std,0.07565939949870328,0.08280461713459052,0.08280381046335562,0.08280461713459052,0.08280381046335562,-0.05184018087901101,1.0,0.43752625608392176,0.22755778991954861,0.14439525428049094,0.23950040910115297,-0.09060474257541834,0.2472694736489467,-0.016983550451136645,0.38038620284643837,-0.0932605842670811,0.22410068530229085,0.403010975612432,0.1663726472236417,-0.04497129602870826,0.4311559375137684,0.12394049043527329,-0.019131272293145245,-0.7408368883812098,-0.5257369444667318,-0.4004930967463913,0.40771038599510573,-0.7529873008696325,-0.49351757651727146,0.23456129149485302,-0.2400837713568923,0.29716608414244183,-0.032050229609658705,0.031256223104133986,0.08150117582981814
bp_mean,0.30409139922571526,0.3034606783473129,0.30346112105811496,0.3034606783473129,0.30346112105811496,0.019267645541312224,0.43752625608392176,1.0,0.32578736905995687,0.5824952703427274,-0.3466895427177597,-0.39260819314241685,0.04291360740587713,0.04577869790650284,-0.023277648248447778,-0.3438846409348429,0.44932941679213245,0.2541928005719653,-0.12587702220674923,-0.19852353817563298,0.41415339555786046,0.07273734313729811,0.46165931496414786,-0.6042500117136406,-0.17139472178699813,-0.3456554770369613,0.40990539688834443,-0.688912455021198,-0.3249116016408017,-0.19885633226075555,-0.06316323249146419,0.10656994433458561,-0.08381170342132112,-0.09820760417228105,0.10897162406352034
bp_std,0.0002961111940574129,0.00195448984006146,0.001955309382524164,0.00195448984006146,0.001955309382524164,-0.24500016848996561,0.22755778991954861,0.32578736905995687,1.0,-0.04009065649792398,-0.11530525176876592,0.09788052551353706,-0.03357809280796869,0.022678531820834933,0.23021205229076502,-0.3177412291737127,0.2623604711003928,0.39646723419998026,-0.1864660109865399,-0.15419648554193294,0.09166881236653078,0.08928837974403032,0.4383223286677946,0.2822884568526062,0.5349511291245145,-0.19305851782303685,0.5160727484865825,0.30118562099526347,0.2839614223641525,0.08949740723446652,0.19348747240915856,0.022773833131246507,0.389235772123395,-0.01706017014782266,0.6514863112984622
eeg_c4_a1_mean,0.33269719992124874,0.3325597767700594,0.3325597767700594,0.3325597767700594,0.3325597767700594,-0.8902353211835736,0.14439525428049094,0.5824952703427274,-0.04009065649792398,1.0,-0.20572618775868945,-0.17129295760492683,-0.060781235168982865,,,0.7333841608316484,0.5500188737938129,,,-0.006922548266349125,0.11981499252504418,0.1789237493215213,0.1014729978620782,-0.7557993874754888,-0.6422418055519243,0.020638696899906318,-0.07027810824874862,0.22174932713908407,-0.00034240830011693173,,,,,,
