column,dtype,non_null_count,missing_count,missing_pct,n_unique
abdo_res_mean,float64,305,0,0.0,77
abdo_res_std,float64,305,0,0.0,277
airflow_mean,float64,305,0,0.0,191
airflow_std,float64,305,0,0.0,278
annotation_index,int64,305,0,0.0,217
annotation_source,object,305,0,0.0,2
ecg_mean,float64,305,0,0.0,26
ecg_std,float64,305,0,0.0,121
eeg_mean,float64,305,0,0.0,68
eeg_sec_mean,float64,305,0,0.0,82
eeg_sec_std,float64,305,0,0.0,272
eeg_std,float64,305,0,0.0,270
emg_mean,float64,305,0,0.0,22
emg_std,float64,305,0,0.0,61
eog_l_mean,float64,305,0,0.0,146
eog_l_std,float64,305,0,0.0,275
eog_r_mean,float64,305,0,0.0,129
eog_r_std,float64,305,0,0.0,276
epoch_end_sample,int64,305,0,0.0,278
epoch_end_sec,float64,305,0,0.0,278
epoch_start_sample,int64,305,0,0.0,278
epoch_start_sec,float64,305,0,0.0,278
event_center_sample,int64,305,0,0.0,305
event_label,object,305,0,0.0,275
pr_mean,float64,305,0,0.0,272
pr_std,float64,305,0,0.0,276
record_id,int64,305,0,0.0,1
sao2_mean,float64,305,0,0.0,217
sao2_std,float64,305,0,0.0,227
thor_res_mean,float64,305,0,0.0,149
thor_res_std,float64,305,0,0.0,278
