column,dtype,non_null_count,missing_count,missing_pct,n_unique
duration_sec,float64,197,0,0.0,127
hypnogram_file,object,197,0,0.0,197
known_stage_duration_sec,float64,197,0,0.0,143
n_channels,int64,197,0,0.0,2
n_hypnogram_annotations,int64,197,0,0.0,120
recording_id,object,197,0,0.0,197
sfreq_first,float64,197,0,0.0,1
sleep_stage,object,197,0,0.0,4
sleep_stage_frac_n1,float64,197,0,0.0,196
sleep_stage_frac_n2,float64,197,0,0.0,197
sleep_stage_frac_n3,float64,197,0,0.0,178
sleep_stage_frac_rem,float64,197,0,0.0,197
sleep_stage_frac_w,float64,197,0,0.0,196
source_file,object,197,0,0.0,197
subject_id,object,197,0,0.0,197
unknown_stage_duration_sec,float64,197,0,0.0,108
