,duration_sec,n_channels,sfreq_first,n_hypnogram_annotations,known_stage_duration_sec,unknown_stage_duration_sec,sleep_stage_frac_w,sleep_stage_frac_n1,sleep_stage_frac_n2,sleep_stage_frac_n3,sleep_stage_frac_rem
duration_sec,1.0,0.7214722015625347,,0.06050584946864211,0.9576542170688992,0.07180627977610513,0.5057540671955303,-0.29041502273217595,-0.502279140553003,-0.36347241077602593,-0.4625878079448122
n_channels,0.7214722015625347,1.0,,0.041044423123312364,0.721432277793317,0.7085927490931253,0.7213934929609757,-0.33990792627335337,-0.719035715733061,-0.5645511974280056,-0.7029618919834397
sfreq_first,,,,,,,,,,,
n_hypnogram_annotations,0.06050584946864211,0.041044423123312364,,1.0,0.04748139098727115,0.004742342710315776,-0.21340695348220656,0.23114828769815898,-0.14677868715455064,0.28751911169438665,0.029617409155856134
known_stage_duration_sec,0.9576542170688992,0.721432277793317,,0.04748139098727115,1.0,0.03397560160420354,0.5308609474628351,-0.28531389977789917,-0.4975697092437633,-0.37341180926855566,-0.5007020500589664
unknown_stage_duration_sec,0.07180627977610513,0.7085927490931253,,0.004742342710315776,0.03397560160420354,1.0,0.5023618129401008,-0.22726342861461452,-0.531682999868124,-0.42802716587541484,-0.5000161567790138
sleep_stage_frac_w,0.5057540671955303,0.7213934929609757,,-0.21340695348220656,0.5308609474628351,0.5023618129401008,1.0,-0.3959048654248369,-0.7271356710960534,-0.4379468492372752,-0.737730591577252
sleep_stage_frac_n1,-0.29041502273217595,-0.33990792627335337,,0.23114828769815898,-0.28531389977789917,-0.22726342861461452,-0.3959048654248369,1.0,0.21501567067221716,-0.18447268507556489,0.1110700830445649
sleep_stage_frac_n2,-0.502279140553003,-0.719035715733061,,-0.14677868715455064,-0.4975697092437633,-0.531682999868124,-0.7271356710960534,0.21501567067221716,1.0,0.20287755381962966,0.4958687674423715
sleep_stage_frac_n3,-0.36347241077602593,-0.5645511974280056,,0.28751911169438665,-0.37341180926855566,-0.42802716587541484,-0.4379468492372752,-0.18447268507556489,0.20287755381962966,1.0,0.49232137932653675
sleep_stage_frac_rem,-0.4625878079448122,-0.7029618919834397,,0.029617409155856134,-0.5007020500589664,-0.5000161567790138,-0.737730591577252,0.1110700830445649,0.4958687674423715,0.49232137932653675,1.0
