model,fold,accuracy,macro_f1,cohen_kappa,per_class_f1_n1,per_class_f1_n2,per_class_f1_n3
svm_rbf,0,0.7413551401869158,0.6867521537683682,0.5741716859348565,0.5454545454545454,0.6524678837052063,0.8623340321453529
svm_rbf,1,0.7192001720060202,0.6788174554986254,0.5488166904531393,0.5573350416399744,0.6418439716312057,0.8372733532246959
svm_rbf,2,0.6968360995850622,0.6574973189923878,0.520207037367354,0.5355348169418521,0.5968548963545389,0.8401022436807725
svm_rbf,3,0.7252416756176154,0.7018687794492559,0.569098711887233,0.6137387387387387,0.6562853907134768,0.8355822088955522
svm_rbf,4,0.7203772037720377,0.6644333678585223,0.5488669315862958,0.5006273525721455,0.6290461185906617,0.8636266324127596
random_forest,0,0.7728971962616823,0.7101957613952571,0.611828909721595,0.5474372955288986,0.7213309566250743,0.861819032031798
random_forest,1,0.7688669103418619,0.7133788551473882,0.6044662544111468,0.5717192268565615,0.7166212534059946,0.8517960851796085
random_forest,2,0.7689315352697096,0.7057411738488266,0.6087732727052853,0.5268176400476758,0.733026113671275,0.857379767827529
random_forest,3,0.7890440386680988,0.7435154010671158,0.6491664190247903,0.6048171275646744,0.7610441767068273,0.8646848989298455
random_forest,4,0.7999179991799918,0.7332141138824201,0.6577056223834143,0.5601503759398496,0.7467584016935698,0.8927335640138409
xgboost,0,0.7782710280373831,0.7184360724974562,0.6206802003454645,0.5671957671957671,0.7200488997555012,0.8680635505411006
xgboost,1,0.7611266394323801,0.6964634471517631,0.5906772116156882,0.5295950155763239,0.7089975682248041,0.8507977576541613
xgboost,2,0.7474066390041494,0.685656889892459,0.5734136345659369,0.5126436781609195,0.7004405286343612,0.8438864628820961
xgboost,3,0.764124597207304,0.7112994597956567,0.6072741405051891,0.5516621743036837,0.7295597484276729,0.8526764566556134
xgboost,4,0.7794177941779418,0.7111974844067367,0.6247962149705275,0.5338078291814946,0.7162815690488984,0.8835030549898167
