model,fold,training_mode,inner_best_score,selected_params_json
random_forest,0,tuned,0.7289414921231169,"{""class_weight"": ""balanced"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""n_jobs"": -1}"
random_forest,1,tuned,0.7190245143352024,"{""class_weight"": ""balanced"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""n_estimators"": 200, ""n_jobs"": -1}"
random_forest,2,tuned,0.7147729873365117,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""n_estimators"": 200, ""n_jobs"": -1}"
random_forest,3,tuned,0.7113885058751417,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""n_jobs"": -1}"
random_forest,4,tuned,0.7125212688892417,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""n_jobs"": -1}"
random_forest,final,tuned,0.7118653533206373,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""n_jobs"": -1}"
xgboost,0,tuned,0.7215025846597641,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 300, ""n_jobs"": -1, ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,1,tuned,0.7186262950477103,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 150, ""n_jobs"": -1, ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,2,tuned,0.7130936947609029,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 300, ""n_jobs"": -1, ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,3,tuned,0.7019832045984692,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 300, ""n_jobs"": -1, ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,4,tuned,0.7113552630881714,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 150, ""n_jobs"": -1, ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,final,tuned,0.7118929750437258,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 300, ""n_jobs"": -1, ""subsample"": 0.8, ""tree_method"": ""hist""}"
svm_rbf,0,tuned,0.6859260614144055,"{""C"": 10, ""class_weight"": ""balanced"", ""gamma"": 0.1}"
svm_rbf,1,tuned,0.6769805566106752,"{""C"": 10, ""class_weight"": ""balanced"", ""gamma"": 0.1}"
svm_rbf,2,tuned,0.6777725802509503,"{""C"": 1, ""class_weight"": ""balanced"", ""gamma"": 0.1}"
svm_rbf,3,tuned,0.672385555760587,"{""C"": 10, ""class_weight"": ""balanced"", ""gamma"": ""scale""}"
svm_rbf,4,tuned,0.6819379846899757,"{""C"": 10, ""class_weight"": ""balanced"", ""gamma"": 0.1}"
svm_rbf,final,tuned,0.6756332181044433,"{""C"": 10, ""class_weight"": ""balanced"", ""gamma"": ""scale""}"
