model,fold,accuracy,macro_f1,cohen_kappa,per_class_f1_n1,per_class_f1_n2,per_class_f1_n3,per_class_f1_rem,per_class_f1_w
random_forest,0,0.7293225323770703,0.6657275482407704,0.630312308238969,0.34994115339348764,0.7793208754453573,0.7412272471382999,0.6178397446665547,0.8403087205601528
random_forest,1,0.7085011715767581,0.6445087545875969,0.6017886734216549,0.3525783370342956,0.763916408090022,0.670076726342711,0.6267181744677028,0.8092541270032534
random_forest,2,0.7386987407168227,0.6760945175070188,0.64324901926364,0.3785777890853581,0.7871948071107178,0.7237880496054115,0.6352462803807412,0.8556656613528651
random_forest,3,0.6902935798455913,0.627344033019441,0.574780856412958,0.3224917893844687,0.7280037242371662,0.734006734006734,0.5389631213254944,0.8132547961433413
random_forest,4,0.7183011802625966,0.6515997083962862,0.6154695327501293,0.34019433705986835,0.755976739177256,0.7214796394156046,0.588570902733045,0.8517769235956572
xgboost,0,0.7383519942211444,0.6731133188257411,0.6431059043977878,0.3552791672299581,0.7847632609469563,0.7412046417388101,0.6235011990407674,0.8608183251722135
xgboost,1,0.7249822288918727,0.6607539946538161,0.6253103871013215,0.3591244591499109,0.7709733724514428,0.6857142857142857,0.6523752358086091,0.8355826201448321
xgboost,2,0.7485200731891077,0.6901656259622457,0.6564831123082786,0.38927507447864945,0.8017437042908095,0.7441860465116279,0.6575342465753424,0.8580890579547997
xgboost,3,0.7109914668833808,0.6489331577664663,0.605675942651879,0.3233042165426507,0.748415448322488,0.7527285129604365,0.5805889190236343,0.8396286919831224
xgboost,4,0.7323316111295445,0.6649732574018692,0.6343438633336622,0.34060658957015055,0.7733938547486033,0.7497603068072867,0.5956996827634825,0.8654058531198233
