model,fold,accuracy,macro_f1,cohen_kappa,per_class_f1_n1,per_class_f1_n2,per_class_f1_n3,per_class_f1_rem,per_class_f1_w
random_forest,0,0.8132096628455099,0.5655988351398155,0.639137783501551,0.1219086412569101,0.7527260655277204,0.5875947890336379,0.44826418289585096,0.917500496984958
random_forest,1,0.8098510882016037,0.5821800800102449,0.6406063050372789,0.15941011235955055,0.7218237704918032,0.6267052501033485,0.4879179079774909,0.9150433591190312
random_forest,2,0.8086594398702991,0.5898016111084117,0.6292564119539825,0.13503351316004578,0.7013643254168772,0.6866796305298979,0.5144263028405278,0.9115042835947097
random_forest,3,0.8014460685012622,0.571714321766852,0.6016630105210646,0.15413158270301128,0.6809318188068979,0.6628041714947857,0.4509992006394884,0.9097048351900769
random_forest,4,0.7989712104870157,0.5884157240234777,0.6343455357995211,0.1592791745385845,0.7196723151161486,0.675293166194905,0.4749288906948395,0.9129050735729108
xgboost,0,0.807472484405108,0.5525712121041497,0.6265359825191558,0.09232728430436167,0.7443597482989717,0.5782300563329094,0.43664252236898166,0.9112964492155243
xgboost,1,0.8019208740858226,0.5854084662709441,0.6261175090856146,0.14732453092425296,0.7052645261926427,0.685583987838865,0.4831347541533814,0.9057345322455785
xgboost,2,0.8011465386612413,0.5803088426436895,0.6182423607887204,0.12719522591645355,0.6834315434199242,0.6797416324133881,0.5028371890004365,0.9083386224682451
xgboost,3,0.7966570054331453,0.5688699228114303,0.5957746980822396,0.11349267540478027,0.6675362791456058,0.6864789170686167,0.47132877869041223,0.9055129637477366
xgboost,4,0.7920849581017174,0.5858144316982802,0.6223187099369011,0.14513961475287443,0.6988462843569732,0.6974254397145042,0.4807303870081603,0.906930432658889
