model,fold,training_mode,inner_best_score,selected_params_json
random_forest,0,tuned,0.6071993682505917,"{""class_weight"": ""balanced"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""n_jobs"": -1}"
random_forest,1,tuned,0.5944166793099886,"{""class_weight"": ""balanced"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""n_jobs"": -1}"
random_forest,2,tuned,0.5892582335204017,"{""class_weight"": ""balanced"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""n_jobs"": -1}"
random_forest,3,tuned,0.5976919714600952,"{""class_weight"": ""balanced"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""n_jobs"": -1}"
random_forest,4,tuned,0.5857207911278329,"{""class_weight"": ""balanced"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""n_jobs"": -1}"
random_forest,final,tuned,0.5973408217059951,"{""class_weight"": ""balanced"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""n_jobs"": -1}"
xgboost,0,tuned,0.6048860783910025,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 300, ""n_jobs"": -1, ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,1,tuned,0.5910034656297993,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 300, ""n_jobs"": -1, ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,2,tuned,0.5819760561077422,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 300, ""n_jobs"": -1, ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,3,tuned,0.5915375354882939,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 300, ""n_jobs"": -1, ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,4,tuned,0.5820565377706786,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 300, ""n_jobs"": -1, ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,final,tuned,0.5913943071677868,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 300, ""n_jobs"": -1, ""subsample"": 0.8, ""tree_method"": ""hist""}"
